supp,variable,variable_type,data
TCGA,gender,male,66
TCGA,gender,female,34
MSK,gender,male,76
MSK,gender,female,24
TCGA,virus,HBV,22
MSK,virus,HBV,16
TCGA,virus,HCV,18
MSK,virus,HCV,38
TCGA,virus,other,60
MSK,virus,other,46
TCGA,ethnicity,caucasian,60
MSK,ethnicity,caucasian,71.6
TCGA,ethnicity,asian,28
MSK,ethnicity,asian,16.4
TCGA,ethnicity,african-american,7
MSK,ethnicity,african-american,5.2
TCGA,ethnicity,other,1
MSK,ethnicity,other,0.7
TCGA,ethnicity,missing,4
MSK,ethnicity,missing,6.7
TCGA,tumortype,primary,100
TCGA,tumortype,metastatic,0
MSK,tumortype,primary,86
MSK,tumortype,metastatic,14
