DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,binary_data
COLOR,#ff0000
FIELD_LABELS,rl0
FIELD_COLORS,#000000
FIELD_SHAPES,4
SHOW_INTERNAL,0
MARGIN,0
HEIGHT_FACTOR,1
SYMBOL_SPACING,10
DATA
Acidobacteria,-1
Acidobacterium_capsulatum,-1
Actinobacteridae,-1
Actinomycetales,-1
Actinopterygii,-1
Aeropyrum_pernix,-1
Agrobacterium_tumefaciens_Cereon,-1
Agrobacterium_tumefaciens_WashU,0
Alphaproteobacteria,-1
Anopheles_gambiae,-1
Apicomplexa,-1
Aquifex_aeolicus,-1
Arabidopsis_thaliana,-1
Archaea,-1
Archaeoglobus_fulgidus,-1
Ascomycota,-1
Bacillaceae,-1
Bacillales,-1
Bacilli,-1
Bacillus,-1
Bacillus_anthracis,0
Bacillus_cereus_ATCC_10987,0
Bacillus_cereus_ATCC_14579,0
Bacillus_halodurans,-1
Bacillus_subtilis,0
Bacteria,-1
Bacteroidales,-1
Bacteroides_thetaiotaomicron,-1
Bdellovibrio_bacteriovorus,-1
Betaproteobacteria,-1
Bifidobacterium_longum,-1
Blochmannia_floridanus,-1
Bordetella,-1
Bordetella_bronchiseptica,-1
Bordetella_parapertussis,-1
Bordetella_pertussis,-1
Borrelia_burgdorferi,-1
Bradyrhizobiaceae,-1
Bradyrhizobium_japonicum,-1
Brucella,-1
Brucella_melitensis,-1
Brucella_suis,-1
Buchnera,-1
Buchnera_aphidicola_APS,0
Buchnera_aphidicola_Bp,0
Buchnera_aphidicola_Sg,0
Burkholderiales,-1
Caenorhabditis,-1
Caenorhabditis_briggsae,-1
Caenorhabditis_elegans,-1
Campylobacter_jejuni,-1
Campylobacterales,-1
Caulobacter_crescentus,-1
Chlamydia,-1
Chlamydia_muridarum,-1
Chlamydia_pneumoniae_AR39,0
Chlamydia_pneumoniae_CWL029,0
Chlamydia_pneumoniae_J138,0
Chlamydia_trachomatis,-1
Chlamydiaceae,-1
Chlamydophila,-1
Chlamydophila_caviae,-1
Chlamydophila_pneumoniae_TW183,0
Chlorobium_tepidum,-1
Chromobacterium_violaceum,-1
Clostridia,-1
Clostridium,-1
Clostridium_acetobutylicum,-1
Clostridium_perfringens,-1
Clostridium_tetani,-1
Corynebacterineae,-1
Corynebacterium,-1
Corynebacterium_diphtheriae,-1
Corynebacterium_efficiens,-1
Corynebacterium_glutamicum,-1
Corynebacterium_glutamicum_13032,0
Coxiella_burnetii,-1
Cryptosporidium_hominis,-1
Cyanidioschyzon_merolae,-1
Cyanobacteria,-1
Danio_rerio,-1
Dehalococcoides_ethenogenes,-1
Deinococci,-1
Deinococcus_radiodurans,-1
Deltaproteobacteria,-1
Desulfovibrio_vulgaris,-1
Dictyostelium_discoideum,-1
Diptera,-1
Drosophila_melanogaster,0
Enterobacteriaceae,-1
Enterococcus_faecalis,-1
Eremothecium_gossypii,-1
Escherichia,-1
Escherichia_coli_EDL933,0
Escherichia_coli_K12,0
Escherichia_coli_O157_H7,0
Escherichia_coli_O6,0
Euarchontoglires,-1
Eukaryota,-1
Euryarchaeota,-1
Fibrobacter_succinogenes,-1
Firmicutes,-1
Fusobacterium_nucleatum,-1
Gallus_gallus,-1
Gammaproteobacteria,-1
Gemmata_obscuriglobus,-1
Geobacter_sulfurreducens,-1
Giardia_lamblia,-1
Gloeobacter_violaceus,-1
Gnathostomata,-1
Haemophilus_ducreyi,-1
Haemophilus_influenzae,-1
Helicobacter,-1
Helicobacter_hepaticus,-1
Helicobacter_pylori_26695,0
Helicobacter_pylori_J99,0
Helicobacteraceae,-1
Hominidae,-1
Homo_sapiens,-1
Lactobacillales,-1
Lactobacillus,-1
Lactobacillus_johnsonii,-1
Lactobacillus_plantarum,-1
Lactococcus_lactis,-1
Leishmania_major,-1
Leptospira,-1
Leptospira_interrogans_56601,-1
Listeria,-1
Listeria_innocua,-1
Listeria_monocytogenes_EGD,0
Listeria_monocytogenes_F2365,0
Metazoa,-1
Methanobacterium_thermautotrophicum,-1
Methanococcales,-1
Methanococcus_jannaschii,-1
Methanococcus_maripaludis,-1
Methanopyrus_kandleri,-1
Methanosarcina,-1
Methanosarcina_acetivorans,-1
Methanosarcina_mazei,-1
Mollicutes,-1
Murinae,-1
Mus_musculus,-1
Mycobacterium,-1
Mycobacterium_bovis,-1
Mycobacterium_leprae,-1
Mycobacterium_paratuberculosis,0
Mycobacterium_tuberculosis_CDC1551,0
Mycobacterium_tuberculosis_H37Rv,0
Mycoplasma,-1
Mycoplasma_gallisepticum,-1
Mycoplasma_genitalium,-1
Mycoplasma_mobile,-1
Mycoplasma_mycoides,0
Mycoplasma_penetrans,-1
Mycoplasma_pneumoniae,-1
Mycoplasma_pulmonis,-1
Mycoplasmataceae,-1
Nanoarchaeum_equitans,-1
Neisseria,-1
Neisseria_meningitidis_A,0
Neisseria_meningitidis_B,0
Neisseriaceae,-1
Nitrosomonas_europaea,-1
Oceanobacillus_iheyensis,-1
Oryza_sativa,-1
Pan_troglodytes,-1
Pasteurella_multocida,-1
Pasteurellaceae,-1
Photobacterium_profundum,-1
Photorhabdus_luminescens,-1
Phytoplasma_Onion_yellows,0
Planctomycetaceae,-1
Plasmodium_falciparum,-1
Porphyromonas_gingivalis,-1
Prochlorococcus_marinus_CCMP1378,0
Prochlorococcus_marinus_MIT9313,0
Prochlorococcus_marinus_SS120,0
Proteobacteria,-1
Pseudomonas,-1
Pseudomonas_aeruginosa,0
Pseudomonas_putida,-1
Pseudomonas_syringae,0
Pyrobaculum_aerophilum,-1
Pyrococcus,-1
Pyrococcus_abyssi,-1
Pyrococcus_furiosus,-1
Pyrococcus_horikoshii,-1
Ralstonia_solanacearum,-1
Rattus_norvegicus,-1
Rhizobiales,-1
