HCVpro ID	Molecule A	Molecule B Gene Symbols	Molecule B Gene ID	PMID	Experimental Evidence (PSI-MI Term ID)
hcv0001	CORE	LTBR	4055	8995654	Two Hybrid Test (MI:0018); Far-Western blot (MI:0047); Affinity Chromatography (MI:0004)
hcv0002	CORE	APOA2	336	9037030	Confocal microscopy (MI:0663)
hcv0003	CORE	TP53	7157	9110985	Mutational analysis (MI:0074)
hcv0004	CORE	LTBR	4055	9371602	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0005	CORE	HNRNPK	3190	9651361	Two Hybrid Test (MI:0018); GST pull-down (MI:0059); Far-Western blot (MI:0047); Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0006	CORE	CORE	951475	9851697	Two Hybrid Test (MI:0018); Mass spectrometry (MI:0943); Gel filtration (MI:0071)
hcv0007	CORE	DDX3X	1654	10074132	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059)
hcv0008	CORE	DDX3X	1654	10329544	Two Hybrid Test (MI:0018); GST pull-down (MI:0059); Affinity Chromatography (MI:0004)
hcv0009	CORE	DDX3X	1654	10336476	Two Hybrid Test (MI:0018); Affinity Chromatography (MI:0004); Immunostaining (MI:0022)
hcv0010	CORE	APOA2	336	10498661	Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); surface plasmon resonance (MI:0107); Colocalization (MI:0403)
hcv0011	CORE	TP53	7157	10544138	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059); Far-Western blot (MI:0047); Mutational analysis (MI:0074); Affinity Chromatography (MI:0004); Colocalization (MI:0403)
hcv0012	CORE	YWHAB	7529	10644344	Two Hybrid Test (MI:0018); Colocalization (MI:0403); Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0013	CORE	YWHAZ	7534	10644344	Two Hybrid Test (MI:0018); GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Western blot (MI:0113); Affinity Chromatography (MI:0004)
hcv0014	CORE	CREB3	10488	10675342	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059)
hcv0015	CORE	CORE	951475	10721731	Two Hybrid Test (MI:0018)
hcv0016	CORE	CDKN1A	1026	10873631	GST pull-down (MI:0059); Mutational analysis (MI:0074); Affinity Chromatography (MI:0004)
hcv0017	CORE	TAF11	6882	10924497	GST pull-down (MI:0059)
hcv0018	CORE	TP53	7157	10924497	Western blot (MI:0113); GST pull-down (MI:0059)
hcv0019	CORE	C1QBP	708	11086025	Two Hybrid Test (MI:0018); GST pull-down (MI:0059)
hcv0020	CORE	TNFRSF1A	7132	11226577	GST pull-down (MI:0059); Kinase assay (MI:0424) (MI:0424); Affinity Chromatography (MI:0004)
hcv0021	CORE	FADD	8772	11336543	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059)
hcv0022	CORE	TNF	7124	11374864	Western blot (MI:0113); GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019)
hcv0023	CORE	TRADD	8717	11374864	Western blot (MI:0113); GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019)
hcv0024	CORE	TRAF2	7186	11374864	Western blot (MI:0113); GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019)
hcv0025	CORE	RXRA	6256	11915042	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019)
hcv0026	CORE	STAT3	6774	12208879	Coimmunoprecipitation (MI:0019); Western blot (MI:0113); GST pull-down (MI:0059)
hcv0027	CORE	TSN	7247	12532453	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019)
hcv0028	CORE	FUNDC2	65991	12665903	Two Hybrid Test (MI:0018)
hcv0029	CORE	TP73	7161	12730672	Coimmunoprecipitation (MI:0019); Mutational analysis (MI:0074); Immunostaining (MI:0022)
hcv0030	CORE	TP53	7157	12730672	Coimmunoprecipitation (MI:0019)
hcv0031	CORE	JAK1	3716	12764155	Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0032	CORE	JAK2	3717	12764155	Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0033	CORE	FAS	355	12919737	Immunoblotting (MI:0113); Coimmunoprecipitation (MI:0019)
hcv0034	CORE	CCNH	902	14711830	Immunofluorescence (MI:0022); Confocal microscopy (MI:0663); GST pull-down (MI:0059); Immunoblotting (MI:0113); Coimmunoprecipitation (MI:0019); Western blot (MI:0113); Immunostaining (MI:0022)
hcv0035	CORE	TBP	6908	14730212	Affinity Chromatography (MI:0004)
