yourlist:M20170803A7434721E10EE6586998A056CCD0537EECEE21T	Entry
NP_002107.3	B1PKY1
NP_002107.3	B2R7U3
NP_002107.3	P04439
NP_005505.2	E5FQ95
NP_005505.2	P01889
NP_073729.1	Q658J6
NP_073729.1	Q9GZQ8
NP_003989.2	P19838
NP_009053.1	A0A0S2Z4U5
NP_009053.1	P22415
NP_001766.2	B4E006
NP_001766.2	P28907
NP_001145.1	P08758
NP_001145.1	V9HWE0
NP_008938.2	Q16630
NP_056289.2	Q59H15
NP_056289.2	Q9Y3Z3
NP_002291.1	P07195
NP_002291.1	Q5U077
NP_003119.2	B2ZZ89
NP_003119.2	Q01082
NP_002015.1	Q06787
NP_006258.3	P49792
NP_003132.2	P19474
NP_005094.1	Q99689
NP_002454.1	P20592
NP_000575.1	A0A024RDA5
NP_000575.1	P10145
NP_005539.1	Q15046
NP_005115.2	P49790
NP_005378.4	P52948
NP_776152.1	Q8NEN9
NP_066953.1	P62937
NP_066953.1	V9HWF5
NP_000933.1	P23284
NP_003255.2	A0A0S2Z4S4
NP_003255.2	O60603
NP_036602.1	A0A024R794
NP_036602.1	B3KMX1
NP_036602.1	Q9Y5L0
NP_067629.2	Q9BYJ4
NP_149023.2	Q9C035
NP_057318.2	Q9ULC5
NP_079034.3	A0A024QZ78
NP_079034.3	Q9BSE5
NP_003650.1	O00116
NP_653299.4	B4DFX6
NP_653299.4	Q8N283
NP_005165.1	P36542
NP_005165.1	Q8TAS0
NP_689572.1	A0A024QZE3
NP_689572.1	Q8TCG5
NP_056278.1	Q96F85
NP_000570.1	P51681
NP_000570.1	Q38L21
NP_006828.2	A0A024R7W9
NP_006828.2	Q92905
NP_001275543.1	A0A0K0K1J1
NP_001275543.1	P01034
NP_001858.1	P15954
YP_003024029.1	P00403
YP_003024029.1	U5Z487
NP_660341.2	Q8IUX4
NP_003737.1	P63167
NP_003737.1	Q6FGH9
NP_008841.2	Q7Z6E9
NP_006394.1	Q14511
NP_002072.2	P35052
NP_004122.2	P10144
NP_004122.2	Q67BC3
NP_002102.4	P42858
NP_002262.3	B3KWG6
NP_002262.3	O00410
NP_002262.3	Q9BVS9
NP_000192.2	P05362
NP_076918.1	L0N195
NP_001562.1	Q14653
NP_003632.3	A0A024R210
NP_003632.3	P13164
NP_002750.1	P19525
NP_002750.1	Q8IW76
NP_004312.2	Q12756
NP_055889.2	O60333
NP_006603.2	O43896
NP_002340.2	O60449
NP_002340.2	Q59H44
NP_005944.1	P02795
NP_002364.5	P78559
NP_002364.5	Q504X9
NP_060644.4	Q66K74
NP_004685.2	A0A024R8J3
NP_004685.2	O15403
YP_003024027.1	P03891
YP_003024027.1	Q7GXY9
NP_057202.3	H3BM14
NP_057202.3	Q9Y5A7
NP_004289.1	O75694
NP_683878.1	Q8TE04
NP_066967.3	O75475
NP_006103.1	Q9UNP9
NP_006212.1	Q13526
NP_001025055.1	Q5JYA6
NP_001025055.1	Q9ULL1
NP_006187.2	Q15365
NP_006187.2	Q53SS8
NP_005720.1	A0A024QZS4
NP_005720.1	P30405
NP_006234.1	Q15172
NP_000931.1	Q15166
NP_075556.1	Q9BZZ2
NP_004718.1	O60721
NP_003121.1	B4DHQ6
NP_003121.1	P30626
NP_004621.2	A0A024R572
NP_004621.2	Q15637
NP_001758.2	P06729
NP_001758.2	Q53F96
NP_000723.1	B0YIY4
NP_000723.1	P04234
NP_000724.1	P07766
NP_000064.1	B0YIY5
NP_000064.1	P09693
NP_006790.1	Q9Y6M0
