yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF7ER	Entry
54981	B3KUG3
54981	Q5W125
54981	Q9NWW6
54980	Q9NWW7
54982	A0A024R601
54982	Q9NWW5
71831	Q149I8
71831	Q9DAN0
71833	P61963
71833	Q80ZU1
54989	Q6IQ21
71835	Q9JJK2
108723	Q8CIS0
68292	A0A0R4J0D3
68292	Q3TDQ1
190148	Q9NAE1
58208	A0A0R4J1E1
58208	Q99PV8
68294	Q9D2V8
68298	A0A0R4J0H7
68298	Q8K2Z4
68299	Q8CCB4
58206	B2RQ06
58206	Q9JKD9
58205	Q3U304
58205	Q9WUL5
851822	Q03778
43982	A0A0B4KGF4
43982	A0A0B4KGK1
43982	A0A126GUW9
43982	Q7JQF1
100126284	F1SBE5
819941	A0A178V6V0
819941	A0A178V865
819941	Q8VZ52
851820	P49367
819940	Q8LGN1
102098	Q6P9R4
113893	A0A0G2JSQ1
113893	Q63754
80305	J3KPT4
80305	Q9H4I3
113894	O08623
113898	Q9R063
102093	Q7TSH2
851827	Q03782
132332	Q4W5P6
213027	H3BJX1
213027	H3BKQ3
80301	Q8TD55
103554	Q5SSW2
56501	Q9Z2U4
206358	Q7Z2H8
180127	Q9XUN9
91074	Q9BXX3
91074	R4GNA2
9317	A0A0A0MSI3
9317	Q96BW5
148753	Q96GL9
687295	D3ZJX5
67115	Q9CR57
183239	Q18481
183238	Q18485
850759	Q07993
850758	P25039
850757	Q12247
850756	P32522
850755	Q12133
850754	Q99382
850753	Q12144
850752	Q12291
850750	P05749
1506	A0A024R6Z5
1506	P40313
814708	A0A178VRP6
814708	Q9ZUA5
814707	A0A178VQ47
814707	A0A1P8AZZ3
814707	A0A1P8B023
814707	Q8L9Y3
814700	A0A1P8B2U5
814700	Q9ZU99
814701	Q9ZUA0
814702	A0A1P8B2N2
814702	Q8GUU3
3885716	C6KSY0
23048	B7ZL13
23048	B7ZL14
23048	Q96RU3
23049	Q96Q15
23046	O75037
23046	Q2UVF0
42058	Q9VEN9
23042	B4DHL7
23042	H3BND4
23042	Q6P996
23042	Q6XYB5
23042	Q86XE2
23043	Q9UKE5
23040	Q9UL68
23041	A0A286YFF8
23041	B7ZM73
23041	Q7Z3U7
2541262	O43089
84420	F1LQT1
54723	Q3TTV6
54723	Q9ERA6
216274	E9Q9M0
216274	Q6A078
78656	D3YZC7
78656	D3YZC8
78656	Q8R3B7
29118	Q9UHL0
29119	A8K141
29119	Q8WW10
29119	Q9UI47
31208	P17886
31207	D3PK91
31207	O46077
29113	M1T2K5
29113	Q6UXA7
29110	Q9UHD2
31204	M9PGB7
31204	M9PGU2
31204	P18490
29116	Q5TIA5
29116	Q8WY64
29117	Q9NPI1
31201	O46037
31201	X2JAB9
29115	A0A024R8R0
29115	Q9UHR5
91694	Q17RB8
109181	E9Q512
15312	P18608
15312	Q8CEW1
319478	M0QWU0
34529	Q8IPB1
34529	Q9V3I1
3772382	M9ND93
3772382	M9NFV3
3772382	M9PCJ5
3772382	M9PCK2
3772382	M9PFA3
3772382	M9PFA8
3772382	M9PFJ2
3772382	M9PFP0
3772382	M9PFP4
3772382	M9PI63
3772382	Q400N1
3772382	Q400N2
12	A0A024R6P0
12	P01011
855228	P35187
855229	P42933
855224	P15108
855225	Q03236
855226	Q03246
855227	P49095
855220	Q00453
34524	O76922
855222	Q03233
34526	P50882
34526	X2JDU0
110521	F8VPM9
819312	A0A1P8B080
819312	A0A1P8B0A4
819312	A0A1P8B0A5
819312	F4IK49
819312	Q0WR66
92521	A0A024QYY9
92521	B4DW07
92521	B4E2A4
92521	Q5M775
180768	Q23015
27033	Q9Y2Y4
828099	A0A178UUL5
828099	P49693
290055	D4AE91
224023	Q99JN2
18	P80404
18	X5D8S1
180760	G8JYB0
180760	Q9U9K0
180765	P90900
180767	P10986
180767	Q6A8K1
180767	Q95ZL1
181498	G5EGM4
838869	A0A178W515
838869	Q9SKA5
55329	B3KQ70
55329	Q8NEH6
55322	A0A024RE14
55322	A0A024RE20
55322	Q49AR2
55323	Q9BRS8
55320	Q6P0N0
182619	B3WFT8
182619	H2KYS2
55326	A0A024R640
55326	Q9NUQ2
181494	Q9XUY5
181494	V6CLW5
55324	A0A0S2Z5L1
55324	Q9NUQ8
55325	B3KRI4
55325	Q9NUQ7
813575	Q8I0U8
334932	F1QD25
334932	X1WCV6
22390	P47810
22393	P56695
22393	Q3TDI2
22393	Q3UN10
50662	A0A0G2JYQ4
50662	Q63046
50664	P59215
187262	Q09410
187263	Q09412
24778	P11167
32435	Q9VXY9
66799	A0A0A0MQF3
66799	Q3V321
66799	Q8VDW4
24771	P34901
24773	P08427
22027	P08113
22027	Q3UAD6
816035	A0A178W202
816035	A0A1P8B178
816035	A0A1P8B195
816035	Q39211
22025	Q505F1
816032	A0A178VTE8
816032	A8MR04
816032	Q0WRA4
816032	Q39212
836507	A0A178UB38
836507	Q9FN02
22029	P39428
22029	Q8C245
831604	Q9LF46
836505	A0A178UDW1
836505	Q9FN04
852629	P53054
852628	P53053
328949	E9PWI3
328949	G3UW40
328949	Q3TYX4
852625	Q92316
852624	P53076
852626	P53077
852621	P53074
852620	P53073
852623	P53075
852622	P53036
31979	M9PGT6
31979	Q9W2U4
126868	Q8N8X9
856759	P40025
856758	P40024
856755	P40021
31970	Q9W2V2
856757	P40023
856756	P40022
856751	P40018
856750	P39943
856753	P38555
31976	M9PE74
31976	Q9W2U7
93699	Q91XX8
444257	Q6GNV0
93696	Q9JKP8
34713	Q9VK28
510618	Q32KY4
852997	P41806
852996	P32585
852995	P53261
852994	P53260
852993	P53259
852992	P53258
56673	Q9NQ32
56672	E9PN38
56672	Q9NQ31
853067	P0CX63
853067	P0CX64
852998	P53262
856287	P32486
828163	A0A178V1I1
828163	Q9SY09
856285	Q6Q5H1
100929	A0A0R4J0L2
100929	Q8BJM7
4637	P60660
856282	P0CX59
856282	P0CX60
856281	Q06469
856280	Q06466
2542220	O13857
2542222	O14113
4638	Q05B97
4638	Q05B98
4638	Q15746
2542225	Q9P376
10425	O95376
10425	Q53ET9
10425	Q6IBL8
2542227	Q09681
51133	Q9Y597
51132	Q9NVW2
181141	H2KYZ3
181141	Q18124
51130	Q9Y575
51136	Q5M7Z0
51135	B2RAP9
51135	B4E359
51135	Q69FE3
51135	Q9NWZ3
140639	Q9ES54
104001	Q05CD8
104001	Q4FJL2
104001	Q4FZ95
104001	Q7M6W1
104001	Q8K0T0
93343	A0A024R7L6
93343	Q96EY5
329015	Q6P4T0
181148	A0A1C3NSL9
181148	H2KYC5
181148	Q95ZY7
220213	Q5VV17
140630	E9Q735
140630	G3X9Y5
140630	Q6A0C5
821974	A0A1I9LRJ4
821974	P92952
828092	F4JI46
821971	Q9LIR8
831608	A0A178UBJ9
831608	Q9SWW6
831608	W8PV01
246425	Q95R73
36314	Q24297
817344	A0A178VZW6
817344	P21238
36317	Q9V675
36310	A0A1B2AK15
36310	Q9V668
36311	Q7JW27
817343	A0A1P8B1P7
817343	Q9SJJ3
25551	A0A0G2JSJ3
25551	A0A0G2JVB0
25551	Q07647
164	A0A140VJE7
164	O43747
164	Q8IY97
165	Q8IUX7
166	Q08117
166	Q8WY48
160	O95782
161	O94973
162	Q10567
163	A0A140VJE8
163	P63010
163	Q96EL6
85451	A0A024R8N4
85451	Q9C0B0
85450	Q8IWB1
85453	Q86VY4
85452	Q9C0B2
85457	Q9C0C6
85456	A0A024R542
85456	Q9C0C2
85459	Q9C0D2
85458	Q155Q3
854667	P38927
854666	P38928
16995	A7VJD3
16995	O88855
854664	P39076
854663	Q00578
854662	P40460
854661	P40459
854660	P40458
200916	C9JYQ9
200916	Q6P5R6
854669	P40462
854668	P40414
8220	F8WEF8
8220	Q96DF8
100191882	B4FAI7
41363	A0A0B4K630
41363	A0A0B4K660
41363	A0A0B4K6Q6
41363	P29617
41361	Q9VGQ0
41360	Q9VGQ1
41367	Q9VGP4
41366	Q9VGI8
41365	Q9VGP6
41364	Q9VGP7
2543177	Q7LKX0
830842	A0A1P8B9Y9
830842	F4KFC4
830842	Q5M755
362897	B2RYS2
2543173	Q9UT98
362891	Q5RKH6
314721	P0C6S7
83858	Q5T9A4
83858	Q9H834
83857	F8VTQ9
83857	Q8IUR5
8224	A0A024R1I8
8224	O14994
8224	Q17R54
8224	Q59EX7
83855	Q9BXK1
110446	Q8QZT1
83853	Q96C74
83852	Q96T68
83851	Q17RD7
2543178	O14111
812838	Q8I406
78935	G1UCX4
78935	Q9D2C2
8226	Q08623
812831	Q8I3Z5
283150	Q6PIV2
812835	Q8I403
835663	Q9FM69
173968	Q09958
854590	P03882
854593	P03875
105352	Q99N11
854594	P03876
854597	Q9ZZX1
854596	P03878
854599	Q9ZZX0
854598	P00401
828096	A0A178V4B7
828096	A0A178V5K1
828096	A0A1P8B8U7
828096	F4JHA2
828096	F4JHA4
828096	P0DKG8
173967	Q8IG49
173967	Q8IG50
173967	Q95QV6
173967	Q95QV7
173967	Q95QV8
70823	Q80Y32
70823	Q8BTT5
323855	F1QY65
836573	A0A178UIJ5
836573	A0A178UJL6
836573	A0A178UKI8
836573	A0A1P8BBF0
836573	A0A1P8BBF2
836573	A0A1P8BBF9
836573	A0A1P8BBG3
836573	A0A1P8BBG4
836573	A0A1P8BBG6
836573	A0A1P8BBH3
836573	A0A1P8BBI8
836573	A0A2H1ZE99
836573	F4KDQ6
836573	Q682D3
100360573	D3ZHB3
836577	A0A178UMK2
836577	Q9FLG2
836576	Q9FLG3
43792	A4V110
43792	Q0KIF7
43792	Q7JMV3
100130086	A0A140VK21
100130086	Q9UBD0
72151	Q5HZI8
72151	Q9D0F6
444841	A0A1L8HJY0
444841	P02350
100423062	B9A064
18949	O35691
18949	Q3TUQ5
2875647	Q5BBA6
123207	Q8WUR7
734718	A0A1L8HIX8
734718	Q498H0
363275	D4A174
363274	D3ZQJ8
819189	Q94BV4
66213	Q9CZB6
40092	M9PFN1
40092	Q9V3K3
40093	Q9VVX5
40090	B7Z072
40090	M9PFW3
40090	Q9VVX3
40096	Q8MSW4
40097	Q8SXQ1
40094	Q9VVX6
40095	M9NDC9
40095	P91664
837196	A0A178W3Y7
837196	C0LGD7
837197	F4HNU1
837197	Q8VWG0
837195	A0A178W5R9
837195	Q9M9Y9
37199	A1ZBH1
37199	A8DYI9
37199	Q7K4M9
37198	Q9XZ08
553106	Q5PQN0
37195	A1ZBG4
37195	A1ZBG6
37194	Q4V6H2
37197	A0A0B4LFU6
37197	A0A0B4LGY4
37197	A1ZBG9
37197	A1ZBH0
37197	Q7K173
37191	E1JGM2
37191	P28286
37190	A0A0B4LFP7
37190	A0A0B4LFW8
37190	A0A0B4LG15
37190	B7YZK8
37190	Q7JUV6
837199	A0A178WCK2
837199	A0A1P8ANY9
837199	F4HNU3
837199	Q8RXL8
84498	A0A0D9SEJ5
84498	B4DG54
84498	B4DSS4
84498	F5GY05
84498	Q96EK7
10424	O15173
84494	Q91ZM0
84494	Q91ZM1
40540	Q9VN01
40541	A0A126GUP6
40542	Q9VN02
40543	Q9VN03
40544	A0A0B4KF61
40544	Q9VN04
40545	Q59E01
40545	Q86BB1
40545	Q8IPM6
40545	Q95RI8
178871	O16366
178870	O16364
40548	Q7YZ95
40549	Q9VN10
814069	Q8IEF0
23500	A0A0J9YYF7
23500	Q86T65
202051	Q86W54
202052	Q9H819
837223	A0A178W9Z5
837223	Q9LMK5
813877	Q8ID81
837225	A0A178WG12
837225	Q9LMK7
207667	D3YX64
207667	Q8BX46
837227	F6LPR6
837227	Q8RX37
14462	P23772
14462	Q3U0R5
14463	E9PXW9
14463	Q08369
14463	Q3UYJ1
14460	P17679
363854	B5DF91
14467	Q7TMG8
14464	P97489
14465	Q61169
30612	O57574
2251	P10767
171610	H2L069
171610	Q86S38
31567	Q9W414
31564	R9PY16
31565	O96651
31565	X2JEB4
31562	M9NEX3
31562	Q8IRR0
31562	Q8SY77
13857	P14753
13857	Q3UTV9
31560	C4XVM0
31560	Q9W422
32041	Q9VZ34
171619	Q9N5V4
171619	V6CLP9
13858	A0A0R4J0A0
13858	H3BK65
13858	P42567
13858	Q80ZL3
13859	A0A1D5RLS1
13859	Q60902
843671	Q9FX31
31568	Q9W413
5605	P36507
5604	A4QPA9
5604	B4DFY5
5604	H3BRW9
5604	Q02750
5607	A0A024R5X5
5607	A0A024R5Y2
5607	Q13163
5606	P46734
5606	Q6FI23
5601	D7R525
5601	D7R526
5601	P45984
2768920	Q7KT57
5603	A0A024RD04
5603	O15264
5602	A0A1P0B7D2
5602	A0A286YEQ0
5602	A0A286YEQ7
5602	A0A286YES0
5602	A0A286YF02
5602	A0A286YF97
5602	A0A286YFD7
5602	A0A286YFN2
5602	A8MWW6
5602	D6RCB1
5602	D6RJF9
5602	I6L9F3
5602	P53779
5602	Q499Y8
2539204	Q9Y7Q1
5609	B4DV95
5609	O14733
5608	A0A024R8K3
5608	A8K3Y2
5608	P52564
838413	B3H5A8
38372	M9PBK6
38372	M9PDX6
38372	M9PH44
38372	P82295
38375	Q9VZU7
38376	B7Z045
38376	M9PE48
38376	M9PH51
38376	Q960S0
38376	Q9VZU5
838415	Q8LF41
38378	Q9VZU4
38379	Q86BP7
38379	Q9VZU3
838418	Q8S905
32047	Q9V405
818289	F4IQ05
818289	Q42580
823602	A0A1I9LSV1
823602	Q8W1Y3
823601	O22241
55327	Q9NUP9
339302	Q7Z7G2
836311	Q941L3
183176	Q18399
37102	A1ZB61
836310	A0A178UJI0
836310	Q9FH54
213760	Q8BKS6
213760	Q8C167
56504	Q0VAW8
56504	Q9Z0G2
834883	A0A178UDC3
834883	P55228
834886	Q8GYL6
834886	Q9LK81
834889	Q8GX37
228003	A2AUC9
228005	A2AR02
176668	Q9XTU6
218885	Q8VE38
284996	Q8NC42
6425	Q5T4F7
6426	Q07955
6426	Q59FA2
6427	A0A024R8U5
6427	Q01130
6427	Q53FN0
284992	B4DZ03
284992	B8ZZI4
284992	Q8NCX0
6421	P23246
6421	Q86VG2
6422	Q8N474
6423	A0A140VJU3
6423	B3KSM5
6423	Q96HF1
256933	Q8NG41
58986	Q9HCN3
6428	B2R6F3
6428	P84103
6429	Q08170
39394	M9PEZ4
39394	Q9VTV1
39397	Q9VTV4
2539980	P40369
39391	M9PI33
39391	Q9VTU9
39390	M9PF87
39390	Q9VTU8
2539985	O60105
2539984	O94620
171023	Q498B9
171023	Q8IXJ9
2539989	O42924
2539988	O94338
39399	A2VEY9
39399	Q9VTV6
2871413	A0A1U8QTJ3
2871413	Q5B2V6
131890	Q8WTQ7
2250	P12034
2250	Q8NBG6
144110	Q8N2M4
835681	Q9LVQ4
812052	Q8IKY1
842107	A0A1P8AQI7
842107	Q9FXA6
812056	Q8IKX7
835689	A0A178UEL3
835689	Q9FG74
366988	Q68FR2
831594	Q9FFI2
831595	A0A1P8BGA9
831595	F4KGY6
831597	A0A1P8B9H2
831597	A0A1P8B9H4
831597	Q9M033
831592	A0A1P8BER5
831592	Q9FFI4
173100	Q9XVT1
831599	Q42521
173104	O62160
173105	O62165
39023	Q9VSR7
177618	H2KYJ7
177618	H2KYJ8
177618	Q5W611
177618	Q8MXH0
177618	W6RQQ7
177618	W6RRP4
177618	W6RT69
177618	W6RT76
177618	W6RXQ9
177618	W6SB62
177619	P18948
39027	Q9VSS1
39026	Q8SZY7
177610	O44514
177610	W6RTQ3
177611	Q8MXI4
177611	W6RQY6
177611	W6SBC9
177616	Q17795
177616	Q8MQE6
177617	Q17796
838482	Q8LAM7
838482	Q9C5J5
843026	A0A1P8AQN6
843026	A0JQ16
105245	A0A0R4J1Y7
105245	E9PXX7
105245	Q3TEE8
105245	Q3UWX1
105245	Q91W90
54682	Q9H8J5
12020	P97503
12021	O70445
229	A0A024R145
229	P05062
42798	Q9VCJ2
42797	Q9VCJ3
226	P04075
226	V9HWN7
225	Q9UBJ2
42794	Q9VCJ6
42793	A0A0B4KHY8
42793	Q9XZ32
12029	O88282
12029	Q5BKP3
42791	Q9VCJ8
220	A0A024RC95
220	H0Y2X5
220	P47895
220	Q7Z3A2
2539327	O94585
2539324	O74854
2539322	O74483
2539321	Q9Y7P4
824761	Q9LY50
8674084	E1JH75
245877	A2AJI0
245877	A2AJI1
245877	A8Y5P4
2539329	Q9UU96
55200	Q3KR16
215351	F6Z9A1
215351	Q6P7W0
69219	D3YU15
69219	Q3UF01
69219	Q9CWS0
2874614	A0A1U8QJJ5
2874614	Q5BAY2
64627	P62804
64624	Q9JJ31
832486	Q9FIP0
832484	A0A1P8BEJ3
832484	Q6GKX4
54331	P59768
113906	Q9EPX0
2977	P33402
40532	Q8T9D0
40532	Q9VMZ3
254394	A0A0S2Z662
254394	Q9NXL9
10223	Q99795
176059	O17214
176059	Q8ITZ0
176058	O17213
176053	P41843
176052	P41848
176051	P41847
176050	P41846
176050	Q8I7I9
3645351	A0A1D8PLW7
149111	Q8TBE1
176055	P41842
176054	P32085
818519	F4IUY8
818518	A0A1P8AXC4
818518	O80948
823796	A0A178V960
823796	A0A1I9LLI9
823796	Q42541
829608	A0A178USS1
829608	Q8L623
244180	Q8BU90
829604	A0A178V495
829604	Q8GY61
818514	A0A178VXZ6
818514	O80952
818516	O80950
100101267	A8CG34
100101267	B4DDR5
100101267	B4DET5
606496	Q2NL51
820729	Q9LKA5
820728	A0A178VPH3
820728	Q9FPF0
25940	B4DT23
25940	I6L9E8
25940	Q8NCA5
55205	A0A024R283
55205	B3KXW2
55205	Q9HCE3
163081	B2R956
163081	B4E0D0
163081	F8WEL6
163081	Q8N184
163087	Q8NA42
820727	A0A178VFZ3
820727	A0A1I9LNN9
820727	A0A1I9LNP0
820727	A0A1I9LNP2
820727	F4IXE7
125476	K7EIY8
125476	Q6PI98
158763	Q6ZRI8
447494	Q66J45
841482	A0A1P8AW83
841482	A0A1P8AW90
841482	Q8H125
3639206	A0A1D8PPX8
851315	Q12121
379473	A0A1L8ESP1
379473	Q7SYX8
162681	I7GY12
162681	I7HAS0
162681	Q8IYD9
55204	Q9H4A5
2542812	O14234
10772	A0A0S2Z504
10772	B3KNY6
10772	O75494
10772	Q5JRI1
180074	K7ZUH9
180074	P08898
10771	B7Z2J6
10771	J3QKD2
10771	Q15326
10771	Q5BJG6
10771	Q5UGI2
10776	A0A024R5U3
10776	H3BMD8
10776	P56211
10777	A8K0T4
10777	A8K1F3
10777	Q9UBL0
818282	Q8VYK4
10775	O95707
14852	Q8CCV1
14852	Q8R050
14857	P13745
55207	A0A024R2D4
55207	Q9NVJ2
418628	E1BTB6
54214	Q91VW5
11827	P56402
11827	Q3UQD4
54216	A0A0A6YY83
54216	A2RS43
54216	E9Q2S0
54216	Q3USI1
54216	Q8CA35
11821	P08030
54210	K7EKM5
54210	Q38L15
54210	Q9NP99
948490	P0A7J3
54212	A0A024R7Y0
54212	B2RA84
54212	Q9NSN8
837737	A0A178WBU4
837737	Q94AU2
361675	B7X6I3
361675	Q5FVI4
246746	A0A1C9ZQ14
246746	A2A6Z2
246746	Q6SJQ7
