vif,DNA dC->dU-editing enzyme APOBEC-3A
vif,tRNA
vif,mRNA cap guanine-N7 methyltransferase
vif,DNA dC->dU-editing enzyme APOBEC-3F
vif,Probable 28S rRNA
rev,DNA dC->dU-editing enzyme APOBEC-3A
rev,tRNA
rev,mRNA cap guanine-N7 methyltransferase
rev,DNA dC->dU-editing enzyme APOBEC-3F
rev,Probable 28S rRNA
tat,DNA dC->dU-editing enzyme APOBEC-3A
tat,tRNA
tat,mRNA cap guanine-N7 methyltransferase
tat,DNA dC->dU-editing enzyme APOBEC-3F
tat,Probable 28S rRNA
v 1,DNA dC->dU-editing enzyme APOBEC-3A
v 1,tRNA
v 1,mRNA cap guanine-N7 methyltransferase
v 1,DNA dC->dU-editing enzyme APOBEC-3F
v 1,Probable 28S rRNA
rev,"Leucine-rich PPR motif-containing protein, mitochondrial"
rev,Interleukin-6 receptor subunit beta
tat,"Leucine-rich PPR motif-containing protein, mitochondrial"
tat,Interleukin-6 receptor subunit beta
rev,Small proline-rich protein 2A
rev,Mitochondrial ribonuclease P protein 1
rev,O-phosphoseryl-tRNA
rev,Exportin-T
rev,Lysine--tRNA ligase
rnase h,Small proline-rich protein 2A
rnase h,Mitochondrial ribonuclease P protein 1
rnase h,O-phosphoseryl-tRNA
rnase h,tRNA
rnase h,Exportin-T
rnase h,Lysine--tRNA ligase
gag,Small proline-rich protein 2A
gag,Mitochondrial ribonuclease P protein 1
gag,O-phosphoseryl-tRNA
gag,tRNA
gag,Exportin-T
gag,Lysine--tRNA ligase
gag pol,Small proline-rich protein 2A
gag pol,Mitochondrial ribonuclease P protein 1
gag pol,O-phosphoseryl-tRNA
gag pol,tRNA
gag pol,Exportin-T
gag pol,Lysine--tRNA ligase
tat,Small proline-rich protein 2A
tat,Mitochondrial ribonuclease P protein 1
tat,O-phosphoseryl-tRNA
tat,Exportin-T
tat,Lysine--tRNA ligase
v 1,Small proline-rich protein 2A
v 1,Mitochondrial ribonuclease P protein 1
v 1,O-phosphoseryl-tRNA
v 1,Exportin-T
v 1,Lysine--tRNA ligase
gag,Uncharacterized protein DKFZp686E07254
gag,HSP90AB1 protein
gag,LOC645212 protein
gag,Transcription factor Dp-1
gag,PIGS protein
gag,ACTN1 protein
gag,FLJ00399 protein
gag,USP10 protein
gag,Tenascin-X
gag,LAMB1 protein
rev,Uncharacterized protein DKFZp686E07254
rev,HSP90AB1 protein
rev,LOC645212 protein
rev,Transcription factor Dp-1
rev,PIGS protein
rev,ACTN1 protein
rev,FLJ00399 protein
rev,USP10 protein
rev,Tenascin-X
rev,LAMB1 protein
env,Uncharacterized protein DKFZp686E07254
env,HSP90AB1 protein
env,LOC645212 protein
env,Transcription factor Dp-1
env,PIGS protein
env,ACTN1 protein
env,FLJ00399 protein
env,USP10 protein
env,Tenascin-X
env,LAMB1 protein
v 1,Uncharacterized protein DKFZp686E07254
v 1,HSP90AB1 protein
v 1,LOC645212 protein
v 1,Transcription factor Dp-1
v 1,PIGS protein
v 1,ACTN1 protein
v 1,FLJ00399 protein
v 1,USP10 protein
v 1,Tenascin-X
v 1,LAMB1 protein
rev,"Acetyl-coenzyme A synthetase, cytoplasmic"
nef,"Acetyl-coenzyme A synthetase, cytoplasmic"
tat,"Acetyl-coenzyme A synthetase, cytoplasmic"
rev,Nuclear factor 1 A-type
vif,Nuclear factor 1 A-type
tat,Nuclear factor 1 A-type
tax,Nuclear factor 1 A-type
v 1,Nuclear factor 1 A-type
vif,DNA fragmentation factor subunit alpha
vif,Protein phosphatase 1A
vif,Beta-2-glycoprotein 1
