vif,DNA dC->dU-editing enzyme APOBEC-3A
vif,tRNA
vif,mRNA cap guanine-N7 methyltransferase
vif,DNA dC->dU-editing enzyme APOBEC-3F
vif,Probable 28S rRNA
rev,DNA dC->dU-editing enzyme APOBEC-3A
rev,tRNA
rev,mRNA cap guanine-N7 methyltransferase
rev,DNA dC->dU-editing enzyme APOBEC-3F
rev,Probable 28S rRNA
tat,DNA dC->dU-editing enzyme APOBEC-3A
tat,tRNA
tat,mRNA cap guanine-N7 methyltransferase
tat,DNA dC->dU-editing enzyme APOBEC-3F
tat,Probable 28S rRNA
v 1,DNA dC->dU-editing enzyme APOBEC-3A
v 1,tRNA
v 1,mRNA cap guanine-N7 methyltransferase
v 1,DNA dC->dU-editing enzyme APOBEC-3F
v 1,Probable 28S rRNA
rev,"Leucine-rich PPR motif-containing protein, mitochondrial"
rev,Interleukin-6 receptor subunit beta
tat,"Leucine-rich PPR motif-containing protein, mitochondrial"
tat,Interleukin-6 receptor subunit beta
rev,Small proline-rich protein 2A
rev,Mitochondrial ribonuclease P protein 1
rev,O-phosphoseryl-tRNA
rev,Exportin-T
rev,Lysine--tRNA ligase
rnase h,Small proline-rich protein 2A
rnase h,Mitochondrial ribonuclease P protein 1
rnase h,O-phosphoseryl-tRNA
rnase h,tRNA
rnase h,Exportin-T
rnase h,Lysine--tRNA ligase
gag,Small proline-rich protein 2A
gag,Mitochondrial ribonuclease P protein 1
gag,O-phosphoseryl-tRNA
gag,tRNA
gag,Exportin-T
gag,Lysine--tRNA ligase
gag pol,Small proline-rich protein 2A
gag pol,Mitochondrial ribonuclease P protein 1
gag pol,O-phosphoseryl-tRNA
gag pol,tRNA
gag pol,Exportin-T
gag pol,Lysine--tRNA ligase
tat,Small proline-rich protein 2A
tat,Mitochondrial ribonuclease P protein 1
tat,O-phosphoseryl-tRNA
tat,Exportin-T
tat,Lysine--tRNA ligase
v 1,Small proline-rich protein 2A
v 1,Mitochondrial ribonuclease P protein 1
v 1,O-phosphoseryl-tRNA
v 1,Exportin-T
v 1,Lysine--tRNA ligase
p12,Uncharacterized protein DKFZp686E07254
p12,HSP90AB1 protein
p12,LOC645212 protein
p12,Transcription factor Dp-1
p12,PIGS protein
p12,ACTN1 protein
p12,FLJ00399 protein
p12,USP10 protein
p12,Tenascin-X
p12,LAMB1 protein
rev,Uncharacterized protein DKFZp686E07254
rev,HSP90AB1 protein
rev,LOC645212 protein
rev,Transcription factor Dp-1
rev,PIGS protein
rev,ACTN1 protein
rev,FLJ00399 protein
rev,USP10 protein
rev,Tenascin-X
rev,LAMB1 protein
matrix,Uncharacterized protein DKFZp686E07254
matrix,HSP90AB1 protein
matrix,LOC645212 protein
matrix,Transcription factor Dp-1
matrix,PIGS protein
matrix,ACTN1 protein
matrix,FLJ00399 protein
matrix,USP10 protein
matrix,Tenascin-X
matrix,LAMB1 protein
gp120,Uncharacterized protein DKFZp686E07254
gp120,HSP90AB1 protein
gp120,LOC645212 protein
gp120,Transcription factor Dp-1
gp120,PIGS protein
gp120,ACTN1 protein
gp120,FLJ00399 protein
gp120,USP10 protein
gp120,Tenascin-X
gp120,LAMB1 protein
env,Uncharacterized protein DKFZp686E07254
env,HSP90AB1 protein
env,LOC645212 protein
env,Transcription factor Dp-1
env,PIGS protein
env,ACTN1 protein
env,FLJ00399 protein
env,USP10 protein
env,Tenascin-X
env,LAMB1 protein
v 1,Uncharacterized protein DKFZp686E07254
v 1,HSP90AB1 protein
v 1,LOC645212 protein
v 1,Transcription factor Dp-1
v 1,PIGS protein
v 1,ACTN1 protein
