yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF1AF	Entry
854852	P38998
854853	P40579
361630	A0A0G2K2N3
361630	F1M7P3
361630	Q6QQU2
854859	P40585
19418	P70392
2539363	O74902
44873	Q9W497
219431	A0A126GVG1
219431	Q8NH73
838275	A0A178W8X1
838275	Q76FS5
19411	P18911
838278	A0A178WCV9
838278	Q9SHG7
838279	A0A178WIS9
838279	Q93Z61
19415	Q9Z268
19417	B2RS27
19417	P27671
19417	Q9QZR7
2655016	Q8IBV4
360013	A0A1C7ZN10
360013	B2RRE2
360013	E9Q405
360013	E9QAX2
360013	Q3UIM4
360013	Q9JMH9
177079	Q86FN6
177079	Q9N3A3
177079	U4PDX1
177073	Q95XX0
177070	Q95XX1
2539652	Q9P7V8
827346	A0A178V322
827346	O23492
825069	Q2V3N5
494445	Q6PDU1
29081	Q9NRN9
185003	P91853
825063	Q9LXQ8
825062	A0A1I9LNJ8
825062	Q8GXW6
494448	Q9DBY5
181718	Q21036
181719	Q17740
2995	P04921
181712	Q20177
181713	Q27504
181711	Q20173
181715	Q22830
821768	A0A178V6U1
821768	Q9LRJ9
821769	Q9LRJ8
819979	A0A178VK83
819979	Q541X0
819979	Q9SFC6
43999	Q9V3Z1
2530	A8K8P8
2530	Q546E0
2530	Q9BYC5
819970	A0A178VNA9
819970	Q9S7V6
819971	Q9S750
43990	Q7KLG8
43991	Q7KMQ6
43991	Q9V3L4
43991	Q9Y0B6
43997	A0A0B4KEX6
43997	A0A0B4KFF9
43997	E1JGS7
43997	Q8MME5
43997	Q9W204
43997	Q9W205
80218	E7EQ69
80218	Q9GZZ1
42020	Q9VES8
838894	F4I316
42022	Q9VES6
42025	A0A0B4KH94
42025	A8JR25
42025	B7Z0L0
42025	B7Z0L1
42025	P10674
42025	Q8INA9
42025	Q9VES3
42024	Q9VES4
42027	A0A0B4KG41
42027	Q9VES1
42026	Q24113
42029	A4V303
42029	P48605
42028	Q9VES0
171890	Q9N3F2
171891	Q9N3F1
171896	Q86S68
80216	Q96QP1
838899	A0A178W4F3
838899	Q8LAZ7
855725	P25294
855724	P53983
855727	P12687
855726	P41318
855721	P53980
855720	P53541
855723	P53982
855722	P53981
855729	P38921
855728	P38922
851371	P09932
24511	A0A0G2JSK5
24511	P49134
3885654	A0A0B4KEY8
3885654	A1ZAZ9
396040	A0A1D5NTB4
396040	A0A1D5PC01
396040	Q90755
121391	Q7RTS7
853079	P53294
853078	P53293
853077	P17891
853076	P32893
853075	P53292
853072	P53290
853071	P39935
173793	Q86LS4
656	P34820
173795	A0A0K3AU10
173795	G4SGU1
173795	G5EEM9
173795	G8JYA8
173795	Q21478
173795	Q8WQE0
657	P36894
654	B4DUF7
654	P22004
654	Q4VBA3
1501	B4DJU1
1501	B4DRK2
1501	E7EPC8
1501	Q9UQB3
281791	A7MBH9
281790	P63097
6363	Q6IBD6
6363	Q99731
6362	P55774
6361	Q92583
6367	O00626
6366	O00585
6364	P78556
10152	A0A0C4DG21
10152	B7Z836
10152	E9PEZ7
10152	F8WAL6
10152	Q9NYB9
10153	Q03701
10150	A2A3S3
10150	Q5VZF2
10156	O43374
10157	A4D0W4
10157	Q9UDR5
10155	Q13263
10158	Q13113
10159	O75787
70235	Q8JZX3
