Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
A0A1D9ECW4,A0A1D9ECW4_9XANT,unreviewed,Serine/threonine protein kinase,Xanthomonas axonopodis pv. glycines str. 8ra,425,1401257
A0A1D9EDJ0,A0A1D9EDJ0_9XANT,unreviewed,Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase),Xanthomonas axonopodis pv. glycines str. 8ra,321,1401257
A0A1D9EF55,A0A1D9EF55_9XANT,unreviewed,CDP-diacylglycerol--serine O-phosphatidyltransferase,Xanthomonas axonopodis pv. glycines str. 8ra,257,1401257
A0A1D9EIS7,A0A1D9EIS7_9XANT,unreviewed,D-alanyl-D-alanine endopeptidase,Xanthomonas axonopodis pv. glycines str. 8ra,307,1401257
A0A1D9EKU9,A0A1D9EKU9_9XANT,unreviewed,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2),Xanthomonas axonopodis pv. glycines str. 8ra,319,1401257
A0A1D9EFD6,A0A1D9EFD6_9XANT,unreviewed,Porin,Xanthomonas axonopodis pv. glycines str. 8ra,397,1401257
A0A1D9EHL0,A0A1D9EHL0_9XANT,unreviewed,Uncharacterized protein,Xanthomonas axonopodis pv. glycines str. 8ra,89,1401257
A0A1D9EKD0,A0A1D9EKD0_9XANT,unreviewed,"dTDP-6-deoxy-3,4-keto-hexulose isomerase",Xanthomonas axonopodis pv. glycines str. 8ra,145,1401257
A0A1D9EKS5,A0A1D9EKS5_9XANT,unreviewed,Heat-inducible transcription repressor HrcA,Xanthomonas axonopodis pv. glycines str. 8ra,343,1401257
A0A1D9ENF5,A0A1D9ENF5_9XANT,unreviewed,Uncharacterized protein,Xanthomonas axonopodis pv. glycines str. 8ra,129,1401257
A0A1D9EPI8,A0A1D9EPI8_9XANT,unreviewed,Peptidase,Xanthomonas axonopodis pv. glycines str. 8ra,265,1401257
A0A1D9ELP0,A0A1D9ELP0_9XANT,unreviewed,Uncharacterized protein,Xanthomonas axonopodis pv. glycines str. 8ra,106,1401257
A0A1D9ELJ9,A0A1D9ELJ9_9XANT,unreviewed,Uncharacterized protein,Xanthomonas axonopodis pv. glycines str. 8ra,156,1401257
A0A1D9EPL3,A0A1D9EPL3_9XANT,unreviewed,"3-carboxy-cis,cis-muconate cycloisomerase",Xanthomonas axonopodis pv. glycines str. 8ra,450,1401257
A0A1D9EKX2,A0A1D9EKX2_9XANT,unreviewed,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)",Xanthomonas axonopodis pv. glycines str. 8ra,399,1401257
A0A1D9EM42,A0A1D9EM42_9XANT,unreviewed,30S ribosomal protein S5,Xanthomonas axonopodis pv. glycines str. 8ra,180,1401257
A0A1D9ENJ9,A0A1D9ENJ9_9XANT,unreviewed,Kinase,Xanthomonas axonopodis pv. glycines str. 8ra,286,1401257
A0A1D9EP48,A0A1D9EP48_9XANT,unreviewed,Uncharacterized protein,Xanthomonas axonopodis pv. glycines str. 8ra,277,1401257
A0A1D9EPP0,A0A1D9EPP0_9XANT,unreviewed,Conjugal transfer protein,Xanthomonas axonopodis pv. glycines str. 8ra,346,1401257
A0A1D9EG81,A0A1D9EG81_9XANT,unreviewed,Phage tail protein,Xanthomonas axonopodis pv. glycines str. 8ra,388,1401257
A0A1D9EI28,A0A1D9EI28_9XANT,unreviewed,Uncharacterized protein,Xanthomonas axonopodis pv. glycines str. 8ra,172,1401257
A0A1D9EJD7,A0A1D9EJD7_9XANT,unreviewed,Uncharacterized protein,Xanthomonas axonopodis pv. glycines str. 8ra,277,1401257
A0A1D9EJS8,A0A1D9EJS8_9XANT,unreviewed,Cellulase,Xanthomonas axonopodis pv. glycines str. 8ra,751,1401257
A0A1D9EIM0,A0A1D9EIM0_9XANT,unreviewed,Integrating conjugative element protein,Xanthomonas axonopodis pv. glycines str. 8ra,148,1401257
A0A1D9EIX3,A0A1D9EIX3_9XANT,unreviewed,Uncharacterized protein,Xanthomonas axonopodis pv. glycines str. 8ra,138,1401257
A0A1D9EIY5,A0A1D9EIY5_9XANT,unreviewed,Histidine kinase,Xanthomonas axonopodis pv. glycines str. 8ra,494,1401257
A0A1D9EJ43,A0A1D9EJ43_9XANT,unreviewed,Uncharacterized protein,Xanthomonas axonopodis pv. glycines str. 8ra,132,1401257
A0A1D9EJ46,A0A1D9EJ46_9XANT,unreviewed,Flagellin,Xanthomonas axonopodis pv. glycines str. 8ra,399,1401257
A0A1D9EJ61,A0A1D9EJ61_9XANT,unreviewed,Siroheme synthase,Xanthomonas axonopodis pv. glycines str. 8ra,325,1401257
A0A1D9EJG6,A0A1D9EJG6_9XANT,unreviewed,Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase),Xanthomonas axonopodis pv. glycines str. 8ra,363,1401257
A0A1D9EKG6,A0A1D9EKG6_9XANT,unreviewed,Phosphate-binding protein PstS,Xanthomonas axonopodis pv. glycines str. 8ra,363,1401257
A0A1D9EKQ0,A0A1D9EKQ0_9XANT,unreviewed,Uncharacterized protein,Xanthomonas axonopodis pv. glycines str. 8ra,135,1401257
