yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF3FI	Entry
146956	Q96AY2
20719	F8WIV2
20719	Q4FJQ6
20719	Q60854
80011	A0A024R6T8
80011	Q9GZU8
71893	Q8VCM2
71890	A2A7G7
71890	Q9D752
68278	Q3UAF1
68278	Q8VDW0
157378	Q6PI78
68275	Q3U8B3
68275	Q5SWN2
68275	Q8VEE4
68272	Q8CGC6
3783750	A0A0B6VKE3
3783750	P03230
824429	A0A178VHV6
824429	Q9LXK1
67426	Q60936
67427	P60867
67427	Q5BLK2
67420	Q922J9
495234	A0A1L8F7T0
495234	A0A1L8F7U8
495234	Q5XG16
390327	A6NIJ9
20624	A2AH85
20624	O08810
20624	Q543F1
361171	Q6AYQ1
112802	Q3SY84
946941	P0A7M2
404018	P60467
5179	A0A024R7V4
5179	P01210
946949	P0AE52
832025	Q5XV39
79368	B4DVJ9
79368	B4E0W2
79368	Q96LA5
79369	A0A024RBT1
79369	Q9C0J1
229675	Q80T69
79364	Q2QGD7
79365	A0A024RAV8
79365	Q8TAT1
79365	Q9C0J9
79366	P82970
79362	D3Z2G6
79362	Q6L8F5
79362	Q99PV5
79363	Q9BU20
397058	A0A287BIV4
4081	B2R805
4081	F1T0A2
4081	Q13394
4082	P29966
4082	Q6NVI1
4084	B7ZLI7
4084	Q05195
172539	Q93619
4086	Q15797
4087	B7Z5N5
4087	Q15796
4087	Q53XR6
4088	A0A024R5Z3
4088	P84022
4088	Q9P0T0
4089	A0A024R274
4089	Q13485
832024	Q94IU8
819829	A0A178VES5
819829	Q93Y07
172532	Q17339
172533	G5EC27
854887	Q04516
854886	Q04511
854883	Q02773
854882	P23639
854881	Q04500
1577	B7Z3P6
1577	P20815
854889	P09733
854888	P54783
57217	B3KPK7
57217	G5E9G4
57217	I6L9J2
57217	Q9ULT0
832027	Q84ME1
839246	A0A1P8ARX4
839246	F4I460
183747	Q6EUU1
183747	Q9XXU4
91543	Q8WXG1
183748	Q9XXU2
91544	Q5T124
80162	A0A024R1Z9
80162	Q32M88
431967	A0A1L8EWS9
431967	Q6NRL1
180213	Q8I4C7
180213	Q9XXR6
180217	G5EEL3
431968	Q6NRL7
825099	A0A1I9LM77
825099	A0A1I9LM78
825099	Q949V7
23354	O94927
23355	B3KPR6
23355	Q8N3P4
23352	Q5T4S7
23353	O94901
23350	O15042
23351	A8K6L5
23351	O15037
825090	Q8GW80
825091	Q147N7
825091	Q9LX49
825094	Q9LX46
23358	Q9UPU5
80167	B7WP89
76813	Q8BNU0
76816	Q3UVU9
76816	Q80UF4
852066	Q04121
855288	P47912
855289	Q04781
852063	Q04119
852062	Q04116
852061	P0CX55
852061	P0CX56
852060	Q02354
855282	Q04013
855283	P0CX23
855283	P0CX24
855280	Q02555
855281	Q02554
855287	Q3E846
855284	P20107
852068	Q03280
819929	A0A178VPD1
819929	Q9SRS5
817948	A0A178W1W0
817948	P93015
817947	P93014
819922	A0A1I9LTV0
819922	Q9SRT2
819921	Q9SRT3
819921	W8PVG2
817943	Q8VY10
819925	A0A178VGJ7
819925	Q9SRS9
819924	A0A178VF62
819924	A0A178VJC7
819924	Q3EBB0
819924	Q9SRT0
100516779	F2Z5L7
171849	Q10666
171840	A0A078BPE0
171840	A0A078BPF6
171840	A0A078BQI3
171840	A0A078BTJ0
171840	Q9N4G4
171842	O45006
855754	P53722
855755	P53723
855756	P53724
855757	P53628
855750	Q00955
855751	P32897
855752	P53721
855753	P53629
6645	A0A024R732
6645	Q13425
6646	P35610
6647	P00441
6647	V9HWC9
6640	Q13424
6641	Q13884
6642	Q13596
6643	O60749
852391	P38254
852390	P00635
852393	P38256
852392	P38255
852395	P38257
852394	P22219
852397	P38260
852399	P38262
852398	P38261
55739	A0A024RDX4
55739	Q8IW45
4166	Q9GZX3
2540211	O43090
851120	Q06058
396017	A0A1D5PSH6
396017	F1NZ78
396017	P51913
74241	Q6IQX7
121340	A0A024RAY8
121340	Q8TDD2
396019	P62207
839124	A0A178WGZ3
839124	Q8RWA5
139793	Q5JUK9
286499	Q8N9E0
173724	Q9TZ88
173728	Q9TZ84
57184	Q5XKK7
231760	A0A0G2JFB0
231760	D3YXR8
231760	Q80U40
2540257	Q9HDW3
6398	Q8WVN6
6399	P0DI81
6399	P0DI82
6399	Q6IBE5
850565	P43595
6392	A0A0S2Z4H7
6392	A0A0S2Z4J3
6392	O14521
6390	P21912
6391	A0A0S2Z4B7
6391	A0A0S2Z4C9
6391	Q99643
6396	A8MWR8
6396	P55735
6397	A0A024R8V1
6397	A5PLM6
6397	Q59HE8
6397	Q7Z3R7
6397	Q92503
124641	Q8WZ82
2540254	O74374
140447	P48768
821737	Q9LSY1
821739	Q9LSX9
821738	A0A178VAP4
821738	Q9LSY0
231413	E9Q179
231413	Q8C5Q4
42314	H9ZYP6
42314	Q9VDY1
140926	Q6MGC8
140927	Q8VIF7
140922	A0A0G2K737
140922	Q920J4
2540251	Q9UST9
128346	Q8NEQ5
820069	A0A1I9LNG4
820069	F4IZU7
820069	Q9SR43
820067	Q9SS74
820064	A0A178VJX2
820064	F4IYM6
820064	Q8L7W6
850563	P43594
820062	A0A178VPW7
820062	Q8LDK7
125113	Q8N1A0
820060	A0A178VBD9
820060	Q9SS80
125111	Q8N144
45328	Q9N658
810824	Q8II97
852935	P32338
852934	P53228
852937	P53230
184827	Q19724
2539149	O74473
852932	P53226
2539147	P78804
2539146	P00046
2539145	O74861
2539144	Q9USM3
852939	P53044
2539142	O74531
134218	Q5F1R6
856225	Q06104
856227	P32328
856226	P07703
856221	Q06098
856220	Q06096
856223	Q06103
856222	Q06102
39272	Q8MS56
856229	P06197
856228	Q06106
320011	Q6P5E4
7096	Q15399
2655059	Q8IC16
218772	P22605
218772	Q6DFX0
2655056	Q8IC20
2655057	Q8IC19
312132	Q6AYA5
844240	A0A178W746
844240	Q8L5A1
84294	Q9BRU9
84295	Q8IWS0
84296	Q9BRT9
818332	A0A178VQV8
818332	F4IQY6
818332	Q38899
5128	A0A024RBH0
5128	Q00537
5129	A0A024R980
5129	A0A024R996
5129	Q07002
5129	Q59G02
170822	A0A0H2UKB8
170822	Q8R5K2
84293	Q9BRX8
5125	Q92824
854575	P0CX10
854575	P0CX11
5127	A0A024R183
5127	A0A140VK97
5127	Q00536
5127	Q9BRL4
854573	Q08914
854572	Q08913
830960	Q9LEU7
854570	Q08911
2539499	P04909
172092	Q95Y97
172091	Q95Y99
172090	G5EBU5
172097	O44732
40292	D3PFF6
40292	Q9VPC0
315789	D4A7T8
2539490	P87228
172099	O01820
2539495	P40371
2539494	Q12706
2539497	O94534
246485	A0A0B4LG04
246485	A0A0B4LH12
246485	Q9V968
830451	A0A178UJQ1
830451	Q9FFK7
550134	A0A0N4SUD2
550134	Q6IS68
39279	Q9VTI3
828089	Q9M128
14225	P26883
14225	Q1JUQ7
14225	Q1JUQ8
14225	Q3UKJ3
14226	A9E3L2
14226	Q80YE1
14226	Q810R7
14226	Q9Z2I2
33361	M9NEN9
33361	Q7KU08
33361	Q9VQ47
14228	P30416
100760824	G3GR61
10379	Q00978
71137	Q7TNK1
33369	M9PBP5
33369	Q9VQ57
828084	O81323
246150	A0A0G2K548
246150	F1LPB4
246153	P22462
837462	A0A1P8AT55
837462	Q8GYA3
837460	Q8GXB4
837466	O80526
837464	Q9FNZ4
837465	F4I0Y8
837465	Q0WPI4
837465	Q93ZW0
229524	E9PUB7
229524	Q2YDW2
175378	Q9N4F2
232157	Q921Y0
175373	A0A0K3ARY0
175373	Q9BKZ9
175376	Q7YZG8
175376	Q7YZG9
175376	Q9N4F3
828081	A0A178V0Z2
828081	Q9M111
828081	W8Q6L8
74392	A0A0R4J0J8
74392	Q2KN98
74392	Q6GQV8
74392	Q8C9Q9
44173	D2NUK9
44173	Q9U3Z7
44172	Q9V3C2
36628	Q8T465
36629	A1Z9T6
812891	Q8I492
23155	A0A024R095
23155	A0A024R0G0
