yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF65D	Entry
23094	B2RWP0
23094	O60292
23097	B4DUB1
23097	I6W807
23097	Q9BWU1
23096	A0A1W2PQN3
23096	Q5JU85
843395	A0A178WFM8
843395	Q9S7E9
186563	A5Z2W0
186563	Q9XUW3
25879	A0A087WT20
25879	Q9NV06
29144	P35565
29146	Q63722
29143	F1LMP7
29143	G3V8V1
29143	P23785
29143	Q6IN42
25871	B4DHL5
25871	B4DJ73
25871	B4DUV5
25871	Q6NW34
25870	A0A024RDK8
25870	Q8NBJ7
25873	Q9Y3U8
29149	P70483
25874	A0A024R8Z5
25874	O95563
67493	Q9CQG2
25876	Q9Y4P9
23327	A0A024R281
23327	A0A024R2A4
23327	B7Z2P9
23327	B7Z6K0
23327	Q96PU5
23326	Q9UPT9
23325	A0A087X256
23325	B7ZKT9
23325	Q2M389
24255	P34158
23322	A0A087WX34
23322	B7ZKJ9
23322	H3BPS4
23322	H3BV03
23322	I3L1B5
23322	Q68CZ1
23321	Q9C040
115353	Q9Y546
66724	B1ASY9
66724	Q571K4
66724	Q9D5S8
66725	Q5S006
66725	Q9CQG8
828908	Q9SUE3
66720	B2RTD7
66720	Q9D5V2
188090	O44857
23328	O94885
109154	Q6ZQI3
76843	Q3TLR7
76846	Q6ZWN5
418486	A0A1D5PZJ4
418486	Q6EE31
446759	A0A1L8ELM9
446759	Q6AZJ9
441525	Q5MJ08
441525	X6R7N2
946334	P69797
441521	P0DMU7
441521	P0DMU8
441521	P0DMV0
177503	P48156
177503	V6CM07
855259	Q03661
855258	Q03660
105866	Q6IME9
177505	Q20330
855255	Q03655
855254	P25303
855257	P38625
855256	Q03656
855251	Q03652
855250	Q03649
855253	Q03654
855252	Q03653
284040	D3DTT2
284040	Q8N9R6
92595	A0A024QZB2
92595	Q96H86
92597	B3KSH6
92597	Q7L9L4
92591	Q96NS5
5740462	A8DYX9
5740462	A8DYY0
5740462	E2QCS4
5740462	M9MRP7
5740462	M9MSH2
5740462	X2J7J2
5740462	X2JDL7
32996	Q9VWC4
55374	A8K0D0
55374	Q96DC7
32994	M9NES1
32994	Q9VWC6
32994	X2BZL0
32992	M9PF96
32992	Q9VWC8
32993	Q9VWC7
32990	Q9VWD0
32991	C0PVB3
32991	Q7KUU5
171834	Q9N4G9
171835	Q9N4G8
55379	Q96AG4
5089	A0A024RCR3
5089	P40425
171832	A0A078BS14
171832	G5EDV1
171832	Q95Y45
32999	C9QPI0
32999	Q24049
855787	P53741
6612	P55854
855785	P53604
855784	P53740
855783	P53739
6616	P60880
6615	O95863
855780	P32323
2539716	O94614
6619	Q92966
6618	Q13487
838834	A0A1P8AWS1
838834	A0A1P8AWY4
838834	P61430
838835	A0A178WBX4
838835	F4I1B4
838835	Q9LME4
855789	P53742
855788	P39008
816698	O48671
813904	Q8ID38
2539714	Q9USX9
2539715	Q9Y7J5
4628	G1UI33
4628	P35580
2542709	Q10495
431914	A0A1L8HMY0
431914	Q6NRT3
823944	F4JCR1
187217	Q21392
180240	D4YWC8
180240	Q9NEI6
180245	J7SA57
180245	Q8MYM9
391123	P0DPA2
2539718	Q9P7W7
821900	Q9LTC6
2542597	Q9UT09
181111	Q19565
181111	Q95QK3
825778	Q9XEC5
32384	Q8IR52
140689	Q9NTU7
140688	A0A087X0N3
140688	Q6P0R2
140688	Q96MY1
140685	Q6ZMU8
140685	Q86UZ6
140683	A8K739
140683	Q96DR5
140680	B7ZML9
140680	F5GZA9
140680	Q9NUD7
816045	A0A1P8B1Z6
816045	F4IIG9
816045	Q9ZQF9
22057	Q61471
22865	O94933
22051	B2RS30
22051	Q9Z1Y4
14569	Q3UPA3
14569	Q61598
38539	Q9VZD1
22059	P02340
22059	Q3UGQ1
22059	Q549C9
22059	Q80ZA1
90655	Q8IUE0
813407	Q8I322
853367	P47033
853366	P47032
856788	P40039
856789	Q12119
853363	P47031
853362	P47030
853361	P47029
43930	Q9VTR6
856783	P17064
856780	Q3E7B0
856781	P40036
856786	Q02771
856787	P40038
856784	P87262
856785	P40037
283152	Q494R4
34834	Q9VJT3
2542277	O13765
852945	P53235
852946	P50276
2542274	Q9UUJ6
852940	P32564
2539115	O74844
2539117	O74539
2539119	O74412
852948	P53237
852949	P53238
75717	E9PV12
75717	E9Q6Z0
75717	G3X914
75717	Q9D5V5
2542278	Q10319
856254	Q01454
856255	Q06506
856257	P0C2I9
856250	P0CX29
856250	P0CX30
856251	Q06505
856252	P80967
856253	P08593
4664	A8K8T1
4664	B4DKG1
4664	B8ZZS2
4664	Q13506
342372	Q7Z443
4666	A0A024RB41
4666	E9PAV3
4666	Q13765
4660	E1CKY7
4660	O60237
4661	Q01538
853091	P49723
853090	P53298
853093	P53299
853095	P22289
853097	P36421
853096	P19812
853099	P48362
853098	P41895
24781	G3V8P8
24781	P23348
5173	P01213
173998	Q20813
173998	Q8IG14
173998	Q8IG15
173998	Q95ZS6
5170	O15530
40053	Q9VVT6
5176	A0A140VKF3
5176	P36955
5175	P16284
5174	Q5T2W1
173991	Q23425
830938	Q3S4A7
3885768	C6KTD8
5178	Q96Q96
5178	Q9GZU2
821356	A0A178VE13
821356	A0A1I9LP30
821356	Q9LJQ3
133	P35318
172023	P91149
131	P40394
172021	H2KYW1
172021	H2KYW2
172021	H2KYW3
172021	Q5R3Y6
172021	Q95Q64
839877	F4I378
839877	Q9C8S1
136	P29275
135	A8K1F6
135	B3KVQ4
135	P29274
135	X5DNB4
172025	P91151
172029	P91155
286917	Q63068
828049	A0A1P8B7B5
828049	A0A1P8B7C8
828049	Q11207
