Proteome ID,Organism,Organism ID,Protein count
UP000000803,Drosophila melanogaster (Fruit fly),7227,21977
UP000000344,Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR)),10254,217
UP000008591,Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-) (HBV-C),928302,5
UP000001974,Sulfolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2),273057,2938
UP000000905,Mycobacterium phage Halo,373407,64
UP000001949,Theileria parva (East coast fever infection agent),5875,4071
UP000029775,Turnip curly top virus (isolate Turnip/South Africa/B11/2006) (TCTV),1559365,6
UP000001134,Acanthamoeba polyphaga mimivirus (APMV),212035,909
UP000000792,Nitrosopumilus maritimus (strain SCM1),436308,1795
UP000001686,Korarchaeum cryptofilum (strain OPF8),374847,1602
UP000029776,Lloviu cuevavirus (isolate Bat/Spain/Asturias-Bat86/2003) (LLOV),1559366,9
UP000016936,Cochliobolus heterostrophus (strain C5 / ATCC 48332 / race O) (Southern corn leaf blight fungus) (Bipolaris maydis),701091,12857
UP000007771,Lake Victoria marburgvirus (strain Musoke-80) (MARV) (Marburg virus (strain Kenya/Musoke/1980)),33727,7
UP000004994,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),4081,33952
UP000000303,Lactobacillus phage c5,508419,50
UP000000942,Human herpesvirus 8 type P (isolate GK18) (HHV-8) (Kaposi's sarcoma-associated herpesvirus),868565,85
UP000007720,Plasmodium berghei (strain Anka),5823,11656
UP000029779,Helicoverpa zea nudivirus 2 (HzNV-2),1128424,113
UP000002485,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812,5142
UP000011289,Bacillus virus Andromeda,1273739,78
UP000006826,Mokola virus (MOKV),12538,5
UP000001645,Meleagris gallopavo (Common turkey),9103,16531
UP000001102,Raspberry bushy dwarf virus (isolate Malling Jewel raspberry/R15) (RBDV),652675,3
UP000029940,Rosellinia necatrix quadrivirus 1 (isolate Rosellinia necatrix/Japan/W1075/1997) (RnQV1),1559369,4
UP000002060,Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus),587200,199
UP000007212,Infectious hematopoietic necrosis virus (strain WRAC) (IHNV),429314,6
UP000000835,Feline coronavirus (strain FIPV WSU-79/1146) (FCoV),33734,10
UP000000353,Equine arteritis virus (strain Bucyrus) (EAV),299386,9
UP000000808,Mycoplasma pneumoniae (strain ATCC 29342 / M129),272634,687
UP000029754,Avisivirus A (isolate Turkey/USA/USA-IN1/2010) (TuASV),1554484,1
UP000000414,Striped jack nervous necrosis virus (SjNNV),35297,3
UP000029761,Fenneropenaeus chinensis hepatopancreatic densovirus (isolate Shrimp/China/HB/2008) (FcDNV),1556324,3
UP000002148,Streptococcus sanguinis (strain SK36),388919,2269
UP000029748,Mischivirus A (isolate Miniopterus schreibersii/China/MsPV-1/2010) (MscPV1),1195365,1
