Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
Q9Z8C9,ACCA_CHLPN,reviewed,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2),Chlamydia pneumoniae (Chlamydophila pneumoniae),324,83558
Q9Z6M6,AAXA_CHLPN,reviewed,Porin AaxA (Outer membrane protein AaxA),Chlamydia pneumoniae (Chlamydophila pneumoniae),438,83558
Q9Z8I3,6PGD_CHLPN,reviewed,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",Chlamydia pneumoniae (Chlamydophila pneumoniae),479,83558
Q9Z6L3,AAAH_CHLPN,reviewed,Probable aromatic amino acid hydroxylase (EC 1.14.16.-),Chlamydia pneumoniae (Chlamydophila pneumoniae),362,83558
Q9Z847,3MGH_CHLPN,reviewed,Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-),Chlamydia pneumoniae (Chlamydophila pneumoniae),196,83558
Q9Z8U5,6PGL_CHLPN,reviewed,6-phosphogluconolactonase (6PGL) (EC 3.1.1.31),Chlamydia pneumoniae (Chlamydophila pneumoniae),258,83558
Q9Z6M7,AAXB_CHLPN,reviewed,Pyruvoyl-dependent arginine decarboxylase AaxB (PvlArgDC) (EC 4.1.1.19) (Biodegradative arginine decarboxylase) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha],Chlamydia pneumoniae (Chlamydophila pneumoniae),195,83558
Q9Z6M8,AAXC_CHLPN,reviewed,Arginine/agmatine antiporter,Chlamydia pneumoniae (Chlamydophila pneumoniae),485,83558
Q9Z8P3,ACP_CHLPN,reviewed,Acyl carrier protein (ACP),Chlamydia pneumoniae (Chlamydophila pneumoniae),79,83558
Q9Z8M5,ACPS_CHLPN,reviewed,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS),Chlamydia pneumoniae (Chlamydophila pneumoniae),122,83558
