Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
Q9PK22,AAXA_CHLMU,reviewed,Porin AaxA (Outer membrane protein AaxA),Chlamydia muridarum (strain MoPn / Nigg),461,243161
Q9PK21,AAXB_CHLMU,reviewed,Pyruvoyl-dependent arginine decarboxylase AaxB (PvlArgDC) (EC 4.1.1.19) (Biodegradative arginine decarboxylase) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha],Chlamydia muridarum (strain MoPn / Nigg),195,243161
Q9PKF8,ACP_CHLMU,reviewed,Acyl carrier protein (ACP),Chlamydia muridarum (strain MoPn / Nigg),77,243161
Q9PKK7,6PGL_CHLMU,reviewed,6-phosphogluconolactonase (6PGL) (EC 3.1.1.31),Chlamydia muridarum (strain MoPn / Nigg),256,243161
Q9PKX7,6PGD_CHLMU,reviewed,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",Chlamydia muridarum (strain MoPn / Nigg),479,243161
Q9PK20,AAXC_CHLMU,reviewed,Arginine/agmatine antiporter,Chlamydia muridarum (strain MoPn / Nigg),483,243161
Q9PKC9,ACCA_CHLMU,reviewed,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2),Chlamydia muridarum (strain MoPn / Nigg),324,243161
Q9PKT6,ACPS_CHLMU,reviewed,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS),Chlamydia muridarum (strain MoPn / Nigg),125,243161
Q9PK32,AK_CHLMU,reviewed,Aspartokinase (EC 2.7.2.4) (Aspartate kinase),Chlamydia muridarum (strain MoPn / Nigg),437,243161
Q9PKH8,ALF1_CHLMU,reviewed,Probable fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Probable fructose-bisphosphate aldolase class I) (FBP aldolase),Chlamydia muridarum (strain MoPn / Nigg),349,243161
P38019,AMPA_CHLMU,reviewed,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),Chlamydia muridarum (strain MoPn / Nigg),499,243161
Q9PK28,AROA_CHLMU,reviewed,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),Chlamydia muridarum (strain MoPn / Nigg),441,243161
Q9PKW2,APBE_CHLMU,reviewed,FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase),Chlamydia muridarum (strain MoPn / Nigg),316,243161
