yeDUF,Conservation depth,Sc - present,Sc - essential,Sp - present,SP - essential,inference method,Sc proteins/COGs,Sp proteins/COGs,Sc-specific GOSlims,Sc/SP shared GOSlims,Sp-specific GOSlims
PF06198,eukaryotic,,,X,X,EM,,Q9HDU8;P0CT98;P0CS86;Q9P3E5;Q9HDU1;Q9HGP8;Q9P3V3;P0CT99;Q9P7U3;P0CS87,,,
PF06747,eukaryotic,X,X,X,,rule-based,P36046 ();O75012 ();P38824 (),P87059 ();O13973 ();O14056 ();O59799 (),GO:0003735 (structural constituent of ribosome); GO:0005198 (structural molecule activity); GO:0005737 (cytoplasm); GO:0005739 (mitochondrion); GO:0006457 (protein folding); GO:0006605 (protein targeting); GO:0016491 (oxidoreductase activity); GO:0016853 (isomerase activity); GO:0032543 (mitochondrial translation),GO:0007005 (mitochondrion organization); GO:0055085 (transmembrane transport),GO:0006091 (generation of precursor metabolites and energy); GO:0006461 (protein complex assembly)
PF08427,eukaryotic,,,X,X,EM,,O42972 (),,,
PF08354,prokaryotic,X,X,X,X,EM,"P07149 (COG4981@NOG,COG0331@NOG,COG2030@NOG)","Q9UUG0 (COG4981@NOG,COG0331@NOG,COG2030@NOG)",GO:0016491 (oxidoreductase activity); GO:0016740 (transferase activity); GO:0016787 (hydrolase activity); GO:0016829 (lyase activity); GO:0032787 (monocarboxylic acid metabolic process),GO:0006629 (lipid metabolic process),
PF08351,prokaryotic,X,X,X,X,EM,P53914 (COG1444@NOG),P87115 (COG1444@NOG),GO:0005730 (nucleolus); GO:0006364 (rRNA processing); GO:0008033 (tRNA processing); GO:0016740 (transferase activity); GO:0042274 (ribosomal small subunit biogenesis),,GO:0006399 (tRNA metabolic process)
PF11654,eukaryotic,X,X,X,X,EM,Q02820 (),C6Y4B6,,,GO:0016192 (vesicle-mediated transport)
PF10350,eukaryotic,X,,X,X,EM,Q03496 (COG5543@NOG),O60081 (COG5543@NOG),GO:0005737 (cytoplasm); GO:0008033 (tRNA processing); GO:0009451 (RNA modification),,GO:0006399 (tRNA metabolic process)
PF06110,eukaryotic,,,X,X,EM,,Q9P7L1 (),,,
PF10353,eukaryotic,,,X,X,EM,,Q9HDT7;Q9Y7S1;Q9URW1,,,
PF10354,eukaryotic,X,X,X,X,EM,P40493 (),O94480 (),GO:0005730 (nucleolus); GO:0005737 (cytoplasm); GO:0006364 (rRNA processing); GO:0008168 (methyltransferase activity); GO:0009451 (RNA modification); GO:0016740 (transferase activity),,GO:0042254 (ribosome biogenesis)
PF08101,eukaryotic,X,X,X,X,EM,P21339 (),Q10326 (),GO:0030427 (site of polarized growth),,GO:0007163 (establishment or maintenance of cell polarity)
PF10356,eukaryotic,X,X,X,,EM,Q08774 (),Q9UT40 (),GO:0005739 (mitochondrion),,
PF08217,eukaryotic,X,X,,,EM,P38273 (),,GO:0005085 (guanyl-nucleotide exchange factor activity); GO:0005773 (vacuole); GO:0006605 (protein targeting); GO:0007033 (vacuole organization); GO:0008289 (lipid binding); GO:0016020 (membrane); GO:0048284 (organelle fusion),,
PF09811,prokaryotic,X,X,X,X,rule-based/EM,P47118 ();P53846 (),O14045 (COG1859@NOG);Q9Y7Q1 (),GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0006413 (translational initiation); GO:0042273 (ribosomal large subunit biogenesis),,GO:0006399 (tRNA metabolic process)
PF08585,eukaryotic,X,X,X,X,rule-based/EM,Q02685 (),Q10160 (),GO:0003677 (DNA binding); GO:0005737 (cytoplasm); GO:0006974 (cellular response to DNA damage stimulus); GO:0030234 (enzyme regulator activity); GO:0051321 (meiotic cell cycle),,
PF02656,prokaryotic,X,X,X,,EM,"Q02725 (COG5264@NOG,COG5036@NOG);P43585 (COG5264@NOG,COG5036@NOG);P40046 (COG5264@NOG);P47075 (COG5264@NOG,COG5036@NOG)","P78810 (COG5264@NOG,COG5036@NOG);O13718 (COG5264@NOG,COG5036@NOG);Q9UR17 (COG5264@NOG)",GO:0003723 (RNA binding); GO:0003729 (mRNA binding); GO:0005783 (endoplasmic reticulum); GO:0007033 (vacuole organization); GO:0016020 (membrane); GO:0016301 (kinase activity); GO:0016740 (transferase activity); GO:0048284 (organelle fusion); GO:0061025 (membrane fusion),,GO:0006914 (autophagy); GO:0061024 (membrane organization)
PF03661,eukaryotic,X,,X,X,EM,Q12144 ();Q12164 (),Q9Y7Z5 (),GO:0005198 (structural molecule activity); GO:0005783 (endoplasmic reticulum); GO:0006997 (nucleus organization); GO:0015931 (nucleobase-containing compound transport); GO:0016020 (membrane),,GO:0006461 (protein complex assembly); GO:0061024 (membrane organization)
PF01956,prokaryotic,X,X,X,,EM,P36039 (),Q9P787 (),,GO:0006457 (protein folding),
PF11312,eukaryotic,X,X,,,EM,Q12291 (),,GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0006364 (rRNA processing); GO:0008168 (methyltransferase activity); GO:0009451 (RNA modification); GO:0016740 (transferase activity),,
PF03669,eukaryotic,,,X,X,EM,,Q09714,,,
PF01930,prokaryotic,,,X,X,EM,,Q9URU2 (COG1112@NOG),,,GO:0006281 (DNA repair); GO:0032200 (telomere organization)
PF09807,eukaryotic,,,X,X,EM,,O74385 (),,,"GO:0006355 (regulation of transcription, DNA-templated); GO:0006399 (tRNA metabolic process)"
PF10293,eukaryotic,X,,X,X,EM,Q06179 ();Q06116 (),Q6LA55 (),GO:0005739 (mitochondrion),,
PF10363,eukaryotic,X,X,X,X,rule-based/EM,Q12751 (),O42977 (),GO:0005737 (cytoplasm); GO:0051169 (nuclear transport),,GO:0006913 (nucleocytoplasmic transport)
PF09260,eukaryotic,,,X,X,EM,,O14154 (COG0366@NOG);Q09840 (COG0366@NOG);O42918 (COG0366@NOG);Q9Y7S9 (COG0296@NOG);O74922 (),,,GO:0005975 (carbohydrate metabolic process); GO:0071554 (cell wall organization or biogenesis)
PF01894,prokaryotic,,,X,X,EM,,O14155 (COG0432@NOG),,,
PF01595,prokaryotic,X,X,X,X,EM,Q12296 (COG1253@NOG),Q9USJ3 (COG1253@NOG),GO:0006873 (cellular ion homeostasis); GO:0016020 (membrane),GO:0007005 (mitochondrion organization),
PF09347,prokaryotic,,,X,X,EM,,Q10082 (COG3665@NOG),,,
PF10209,eukaryotic,X,,X,X,rule-based/EM,P36154 (),O14037 (),GO:0005737 (cytoplasm),,
PF01205,prokaryotic,X,X,X,X,EM,P25637 (COG1739@NOG);Q12257 (COG1739@NOG),O13997 (COG1739@NOG);O60090 (COG1739@NOG),GO:0005634 (nucleus); GO:0005737 (cytoplasm); GO:0006417 (regulation of translation); GO:0008092 (cytoskeletal protein binding); GO:0030234 (enzyme regulator activity); GO:0031399 (regulation of protein modification process); GO:0042594 (response to starvation),,
PF06916,eukaryotic,X,X,X,X,rule-based/EM,P37293 (),Q9URV4 (),GO:0005737 (cytoplasm); GO:0016740 (transferase activity); GO:0018193 (peptidyl-amino acid modification); GO:0043543 (protein acylation),,
