Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
Q822F3,AAXB_CHLCV,reviewed,Pyruvoyl-dependent arginine decarboxylase AaxB (PvlArgDC) (EC 4.1.1.19) (Biodegradative arginine decarboxylase) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha],Chlamydophila caviae (strain GPIC),195,227941
Q820E7,ACPS_CHLCV,reviewed,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS),Chlamydophila caviae (strain GPIC),122,227941
Q824B4,3MGH_CHLCV,reviewed,Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-),Chlamydophila caviae (strain GPIC),190,227941
Q822F4,AAXA_CHLCV,reviewed,Porin AaxA (Outer membrane protein AaxA),Chlamydophila caviae (strain GPIC),451,227941
Q822F2,AAXC_CHLCV,reviewed,Arginine/agmatine antiporter,Chlamydophila caviae (strain GPIC),486,227941
Q823M8,ACCA_CHLCV,reviewed,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2),Chlamydophila caviae (strain GPIC),324,227941
Q823D5,ACP_CHLCV,reviewed,Acyl carrier protein (ACP),Chlamydophila caviae (strain GPIC),77,227941
Q823J9,AMPA_CHLCV,reviewed,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),Chlamydophila caviae (strain GPIC),499,227941
Q822G0,AROA_CHLCV,reviewed,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),Chlamydophila caviae (strain GPIC),446,227941
Q822Y3,ARGR_CHLCV,reviewed,Arginine repressor,Chlamydophila caviae (strain GPIC),147,227941
Q822F7,AROB_CHLCV,reviewed,3-dehydroquinate synthase (EC 4.2.3.4),Chlamydophila caviae (strain GPIC),379,227941
Q822F8,AROC_CHLCV,reviewed,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),Chlamydophila caviae (strain GPIC),359,227941
Q822U2,BDBC_CHLCV,reviewed,Probable disulfide formation protein (Disulfide oxidoreductase) (Thiol-disulfide oxidoreductase),Chlamydophila caviae (strain GPIC),136,227941
P15598,CH10_CHLCV,reviewed,10 kDa chaperonin (11.2 kDa stress response protein) (GroES protein) (Protein Cpn10),Chlamydophila caviae (strain GPIC),102,227941
P15599,CH601_CHLCV,reviewed,60 kDa chaperonin 1 (57 kDa chlamydial hypersensitivity antigen) (GroEL protein 1) (Protein Cpn60 1),Chlamydophila caviae (strain GPIC),544,227941
