Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
Q92JE7,AAT_RICCN,reviewed,Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A),Rickettsia conorii (strain ATCC VR-613 / Malish 7),401,272944
Q92GD8,ACP_RICCN,reviewed,Acyl carrier protein (ACP),Rickettsia conorii (strain ATCC VR-613 / Malish 7),86,272944
Q92IE0,3MGH_RICCN,reviewed,Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-),Rickettsia conorii (strain ATCC VR-613 / Malish 7),183,272944
P0A3N4,17KD_RICCN,reviewed,17 kDa surface antigen,Rickettsia conorii (strain ATCC VR-613 / Malish 7),159,272944
Q92G90,ACNA_RICCN,reviewed,"Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (Iron-responsive protein-like) (IRP-like) (Probable 2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (RNA-binding protein)",Rickettsia conorii (strain ATCC VR-613 / Malish 7),878,272944
Q92H90,ACPS_RICCN,reviewed,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS),Rickettsia conorii (strain ATCC VR-613 / Malish 7),131,272944
Q92JD9,ALR_RICCN,reviewed,Alanine racemase (EC 5.1.1.1),Rickettsia conorii (strain ATCC VR-613 / Malish 7),355,272944
Q92GF9,AK_RICCN,reviewed,Aspartokinase (EC 2.7.2.4) (Aspartate kinase),Rickettsia conorii (strain ATCC VR-613 / Malish 7),401,272944
Q92GA9,AMPG3_RICCN,reviewed,Putative transporter AmpG 3,Rickettsia conorii (strain ATCC VR-613 / Malish 7),432,272944
Q92J85,AMPA_RICCN,reviewed,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),Rickettsia conorii (strain ATCC VR-613 / Malish 7),500,272944
Q92GV3,AMPG2_RICCN,reviewed,Putative transporter AmpG 2,Rickettsia conorii (strain ATCC VR-613 / Malish 7),408,272944
Q92HQ3,AMPG1_RICCN,reviewed,Putative transporter AmpG 1,Rickettsia conorii (strain ATCC VR-613 / Malish 7),417,272944
Q92I85,AMPG4_RICCN,reviewed,Putative transporter AmpG 4,Rickettsia conorii (strain ATCC VR-613 / Malish 7),414,272944
Q92JA4,APBC_RICCN,reviewed,Iron-sulfur cluster carrier protein,Rickettsia conorii (strain ATCC VR-613 / Malish 7),319,272944
Q92G88,ATPB_RICCN,reviewed,ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),Rickettsia conorii (strain ATCC VR-613 / Malish 7),473,272944
Q92JP0,ATP6_RICCN,reviewed,ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6),Rickettsia conorii (strain ATCC VR-613 / Malish 7),242,272944
Q92G87,ATPG_RICCN,reviewed,ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit),Rickettsia conorii (strain ATCC VR-613 / Malish 7),323,272944
Q92G85,ATPD_RICCN,reviewed,ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta),Rickettsia conorii (strain ATCC VR-613 / Malish 7),184,272944
Q92G89,ATPE_RICCN,reviewed,ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit),Rickettsia conorii (strain ATCC VR-613 / Malish 7),112,272944
Q92JP3,ATPF_RICCN,reviewed,ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b),Rickettsia conorii (strain ATCC VR-613 / Malish 7),164,272944
Q92G86,ATPA_RICCN,reviewed,ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),Rickettsia conorii (strain ATCC VR-613 / Malish 7),510,272944
Q92JP1,ATPL_RICCN,reviewed,ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein),Rickettsia conorii (strain ATCC VR-613 / Malish 7),74,272944
Q92IG3,CAPD_RICCN,reviewed,UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase),Rickettsia conorii (strain ATCC VR-613 / Malish 7),341,272944
Q92G95,CCMA_RICCN,reviewed,Cytochrome c biogenesis ATP-binding export protein CcmA (EC 3.6.3.41) (Heme exporter protein A),Rickettsia conorii (strain ATCC VR-613 / Malish 7),191,272944
Q92H75,CCME_RICCN,reviewed,Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE),Rickettsia conorii (strain ATCC VR-613 / Malish 7),128,272944
Q92I31,CDSA_RICCN,reviewed,Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase),Rickettsia conorii (strain ATCC VR-613 / Malish 7),230,272944
Q92H04,CH60_RICCN,reviewed,60 kDa chaperonin (GroEL protein) (Protein Cpn60),Rickettsia conorii (strain ATCC VR-613 / Malish 7),548,272944
Q92HM5,CLPP_RICCN,reviewed,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp),Rickettsia conorii (strain ATCC VR-613 / Malish 7),201,272944
Q92GQ4,CLPX_RICCN,reviewed,ATP-dependent Clp protease ATP-binding subunit ClpX,Rickettsia conorii (strain ATCC VR-613 / Malish 7),425,272944
Q92JK8,CLPB_RICCN,reviewed,Chaperone protein ClpB,Rickettsia conorii (strain ATCC VR-613 / Malish 7),857,272944
Q92H03,CH10_RICCN,reviewed,10 kDa chaperonin (GroES protein) (Protein Cpn10),Rickettsia conorii (strain ATCC VR-613 / Malish 7),95,272944
Q92IF1,COXX_RICCN,reviewed,Protoheme IX farnesyltransferase (EC 2.5.1.-) (Heme B farnesyltransferase) (Heme O synthase),Rickettsia conorii (strain ATCC VR-613 / Malish 7),305,272944
P51042,CISY_RICCN,reviewed,Citrate synthase (EC 2.3.3.16),Rickettsia conorii (strain ATCC VR-613 / Malish 7),435,272944
Q92GL2,COAE_RICCN,reviewed,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase),Rickettsia conorii (strain ATCC VR-613 / Malish 7),191,272944
Q92I67,COX1_RICCN,reviewed,Probable cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I),Rickettsia conorii (strain ATCC VR-613 / Malish 7),532,272944
Q92J29,COX3_RICCN,reviewed,Probable cytochrome c oxidase subunit 3 (EC 1.9.3.1) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III),Rickettsia conorii (strain ATCC VR-613 / Malish 7),283,272944
Q92IL2,COXZ_RICCN,reviewed,Cytochrome c oxidase assembly protein CtaG,Rickettsia conorii (strain ATCC VR-613 / Malish 7),188,272944
Q92I65,COX2_RICCN,reviewed,Probable cytochrome c oxidase subunit 2 (EC 1.9.3.1) (Cytochrome aa3 subunit 2) (Cytochrome c oxidase polypeptide II),Rickettsia conorii (strain ATCC VR-613 / Malish 7),315,272944
Q92GV1,CSPA_RICCN,reviewed,Cold shock-like protein CspA,Rickettsia conorii (strain ATCC VR-613 / Malish 7),70,272944
Q92IS7,CTAA_RICCN,reviewed,Heme A synthase (HAS) (EC 1.3.-.-) (Cytochrome aa3-controlling protein),Rickettsia conorii (strain ATCC VR-613 / Malish 7),337,272944
Q92J57,DBH_RICCN,reviewed,DNA-binding protein HU,Rickettsia conorii (strain ATCC VR-613 / Malish 7),99,272944
Q92IH7,CYAY_RICCN,reviewed,Protein CyaY,Rickettsia conorii (strain ATCC VR-613 / Malish 7),103,272944
Q92I25,DAPA_RICCN,reviewed,4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7),Rickettsia conorii (strain ATCC VR-613 / Malish 7),294,272944
Q92J26,DAPD_RICCN,reviewed,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)",Rickettsia conorii (strain ATCC VR-613 / Malish 7),274,272944
Q92HL4,DBHL_RICCN,reviewed,DNA-binding protein HU-like,Rickettsia conorii (strain ATCC VR-613 / Malish 7),80,272944
Q92JG8,DCD_RICCN,reviewed,dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase),Rickettsia conorii (strain ATCC VR-613 / Malish 7),188,272944
Q92IR1,CYB_RICCN,reviewed,Cytochrome b,Rickettsia conorii (strain ATCC VR-613 / Malish 7),398,272944
Q92IT3,CYCM_RICCN,reviewed,Cytochrome c homolog,Rickettsia conorii (strain ATCC VR-613 / Malish 7),175,272944
Q92J99,DHSC_RICCN,reviewed,Succinate dehydrogenase cytochrome b556 subunit (Cytochrome b-556),Rickettsia conorii (strain ATCC VR-613 / Malish 7),124,272944
Q92J98,DHSD_RICCN,reviewed,Succinate dehydrogenase hydrophobic membrane anchor subunit,Rickettsia conorii (strain ATCC VR-613 / Malish 7),126,272944
Q92HG8,DNAB_RICCN,reviewed,Replicative DNA helicase (EC 3.6.4.12),Rickettsia conorii (strain ATCC VR-613 / Malish 7),494,272944
Q92I41,DAPF_RICCN,reviewed,Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase),Rickettsia conorii (strain ATCC VR-613 / Malish 7),270,272944
Q92JH3,DGTL1_RICCN,reviewed,Deoxyguanosinetriphosphate triphosphohydrolase-like protein,Rickettsia conorii (strain ATCC VR-613 / Malish 7),384,272944
Q92HU7,DEFL_RICCN,reviewed,Peptide deformylase-like (Polypeptide deformylase-like),Rickettsia conorii (strain ATCC VR-613 / Malish 7),183,272944
Q92FV3,DCUP_RICCN,reviewed,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37),Rickettsia conorii (strain ATCC VR-613 / Malish 7),346,272944
