Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
A0A127GJS3,A0A127GJS3_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,225,1617964
A0A127GV59,A0A127GV59_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,224,1617964
A0A127GHK2,A0A127GHK2_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,108,1617964
A0A127GUE6,A0A127GUE6_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,62,1617964
A0A127GM04,A0A127GM04_SHIFL,unreviewed,Uncharacterized protein,Shigella flexneri 4c,172,1617964
A0A127GIP5,A0A127GIP5_SHIFL,unreviewed,Uncharacterized protein,Shigella flexneri 4c,59,1617964
A0A127GUY5,A0A127GUY5_SHIFL,unreviewed,Uncharacterized protein,Shigella flexneri 4c,171,1617964
A0A127GIP2,A0A127GIP2_SHIFL,unreviewed,Methyltransferase,Shigella flexneri 4c,218,1617964
A0A127GI26,A0A127GI26_SHIFL,unreviewed,Tail protein,Shigella flexneri 4c,109,1617964
A0A127GV14,A0A127GV14_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,100,1617964
A0A127GMM7,A0A127GMM7_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,131,1617964
A0A127GM55,A0A127GM55_SHIFL,unreviewed,Transposon Tn10 tetD protein,Shigella flexneri 4c,138,1617964
A0A0C5PJF4,A0A0C5PJF4_SHIFL,unreviewed,CadC-like protein (Transcriptional regulator),Shigella flexneri 4c,262,1617964
A0A127GIR3,A0A127GIR3_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,272,1617964
A0A127GLW0,A0A127GLW0_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,117,1617964
A0A127GJI0,A0A127GJI0_SHIFL,unreviewed,Uncharacterized protein,Shigella flexneri 4c,59,1617964
A0A127GML3,A0A127GML3_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,301,1617964
A0A127GRV4,A0A127GRV4_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,167,1617964
A0A127GH97,A0A127GH97_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,167,1617964
A0A127GQ84,A0A127GQ84_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,533,1617964
A0A127GVJ6,A0A127GVJ6_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,88,1617964
A0A127GHV4,A0A127GHV4_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,272,1617964
A0A127GN48,A0A127GN48_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,272,1617964
A0A127GQP2,A0A127GQP2_SHIFL,unreviewed,Transposase,Shigella flexneri 4c,442,1617964
A0A127GJN3,A0A127GJN3_SHIFL,unreviewed,Uncharacterized protein,Shigella flexneri 4c,180,1617964
