NP_002107.3,"HLA class I histocompatibility antigen, A-1 alpha chain A*03:01:0:01 precursor",B1PKY1;B2R7U3;P04439
NP_005505.2,"major histocompatibility complex, class I, B precursor",E5FQ95;P01889
NP_073729.1,microtubule-associated proteins 1A/1B light chain 3B,Q658J6;Q9GZQ8
NP_003989.2,nuclear factor NF-kappa-B p105 subunit isoform 1,P19838
NP_009053.1,upstream stimulatory factor 1 isoform 1,A0A0S2Z4U5;P22415
NP_001766.2,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,B4E006;P28907
NP_001145.1,annexin A5,P08758;V9HWE0
NP_008938.2,cleavage and polyadenylation specificity factor subunit 6 isoform 1,Q16630
NP_056289.2,deoxynucleoside triphosphate triphosphohydrolase SAMHD1,Q59H15;Q9Y3Z3
NP_002291.1,L-lactate dehydrogenase B chain isoform LDHB,P07195;Q5U077
NP_003119.2,"spectrin beta chain, non-erythrocytic 1 isoform 1",B2ZZ89;Q01082
NP_002015.1,synaptic functional regulator FMR1 isoform ISO1,Q06787
NP_006258.3,E3 SUMO-protein ligase RanBP2,P49792
NP_003132.2,E3 ubiquitin-protein ligase TRIM21,P19474
NP_005094.1,fasciculation and elongation protein zeta-1 isoform 1,Q99689
NP_002454.1,interferon-induced GTP-binding protein Mx2,P20592
NP_000575.1,interleukin-8 precursor,A0A024RDA5;P10145
NP_005539.1,lysine--tRNA ligase isoform 2,Q15046
NP_005115.2,nuclear pore complex protein Nup153 isoform 2,P49790
NP_005378.4,nuclear pore complex protein Nup98 isoform 3 proprotein,P52948
NP_776152.1,PDZ domain-containing protein 8,Q8NEN9
NP_066953.1,peptidyl-prolyl cis-trans isomerase A isoform 1,P62937;V9HWF5
NP_000933.1,peptidyl-prolyl cis-trans isomerase B precursor,P23284
NP_003255.2,toll-like receptor 2 precursor,A0A0S2Z4S4;O60603
NP_036602.1,transportin-3 isoform 1,A0A024R794;B3KMX1;Q9Y5L0
NP_067629.2,tripartite motif-containing protein 34 isoform 1,Q9BYJ4
NP_149023.2,tripartite motif-containing protein 5 isoform alpha,Q9C035
NP_001003818.1,tripartite motif-containing protein 6 isoform 1,Q9C030
NP_057318.2,ACSL5: acyl-CoA synthetase long-chain family member 5,Q9ULC5
NP_079034.3,"agmatinase, mitochondrial precursor",A0A024QZ78;Q9BSE5
NP_003650.1,"alkyldihydroxyacetonephosphate synthase, peroxisomal precursor",O00116
NP_653299.4,ANKRD35: ankyrin repeat domain 35,B4DFX6;Q8N283
NP_005165.1,"ATP synthase subunit gamma, mitochondrial isoform H (heart) precursor",P36542;Q8TAS0
NP_689572.1,"carnitine O-palmitoyltransferase 1, brain isoform isoform 2",A0A024QZE3;Q8TCG5
NP_056278.1,CB1 cannabinoid receptor-interacting protein 1 isoform CRIP1a,Q96F85
NP_000570.1,C-C chemokine receptor type 5,P51681;Q38L21
NP_006828.2,COP9 signalosome complex subunit 5,A0A024R7W9;Q92905
NP_001275543.1,cystatin-C precursor,A0A0K0K1J1;P01034
NP_001858.1,"cytochrome c oxidase subunit 7C, mitochondrial precursor",P15954
YP_003024029.1,cytochrome c oxidase subunit II (mitochondrion),P00403;U5Z487
NP_660341.2,DNA dC->dU-editing enzyme APOBEC-3F isoform a,Q8IUX4
NP_003737.1,"dynein light chain 1, cytoplasmic",P63167;Q6FGH9
NP_008841.2,E3 ubiquitin-protein ligase RBBP6 isoform 1,Q7Z6E9
NP_006394.1,enhancer of filamentation 1 isoform 1,Q14511
NP_002072.2,glypican-1 precursor,P35052
NP_004122.2,granzyme B isoform 1 preproprotein,P10144;Q67BC3
NP_002102.4,huntingtin,P42858
NP_002262.3,importin-5,B3KWG6;O00410;Q9BVS9
NP_000192.2,intercellular adhesion molecule 1 precursor,P05362
NP_076918.1,interferon alpha-1/13 precursor,L0N195;P01562
NP_001562.1,interferon regulatory factor 3 isoform 1,Q14653
