Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
H1GD70,H1GD70_LISIO,unreviewed,LexA repressor (EC 3.4.21.88),Listeria innocua ATCC 33091,204,1002366
H1GAG0,H1GAG0_LISIO,unreviewed,"Transcriptional regulator, DeoR family",Listeria innocua ATCC 33091,256,1002366
H1G8L1,H1G8L1_LISIO,unreviewed,Putative transcriptional repressor CcpN,Listeria innocua ATCC 33091,209,1002366
H1G9S7,H1G9S7_LISIO,unreviewed,Uncharacterized protein,Listeria innocua ATCC 33091,272,1002366
H1G8U9,H1G8U9_LISIO,unreviewed,Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase),Listeria innocua ATCC 33091,394,1002366
H1GAR9,H1GAR9_LISIO,unreviewed,Uncharacterized protein,Listeria innocua ATCC 33091,89,1002366
H1GBJ4,H1GBJ4_LISIO,unreviewed,Chemotaxis protein CheA family protein,Listeria innocua ATCC 33091,623,1002366
H1G8N9,H1G8N9_LISIO,unreviewed,Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase),Listeria innocua ATCC 33091,206,1002366
H1GDP4,H1GDP4_LISIO,unreviewed,Chaperone protein DnaJ,Listeria innocua ATCC 33091,376,1002366
H1GF66,H1GF66_LISIO,unreviewed,Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase),Listeria innocua ATCC 33091,430,1002366
H1G9U8,H1G9U8_LISIO,unreviewed,Single-stranded DNA-binding protein (SSB),Listeria innocua ATCC 33091,159,1002366
H1G7X5,H1G7X5_LISIO,unreviewed,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase),Listeria innocua ATCC 33091,348,1002366
H1GFL6,H1GFL6_LISIO,unreviewed,"ABC transporter, ATP-binding protein",Listeria innocua ATCC 33091,590,1002366
H1GFW2,H1GFW2_LISIO,unreviewed,"PTS system, Lactose/Cellobiose specific IIB subunit",Listeria innocua ATCC 33091,90,1002366
H1GA69,H1GA69_LISIO,unreviewed,Phosphoglycerate mutase family protein,Listeria innocua ATCC 33091,211,1002366
H1GA70,H1GA70_LISIO,unreviewed,"ABC transporter, permease protein",Listeria innocua ATCC 33091,628,1002366
H1GCJ9,H1GCJ9_LISIO,unreviewed,Transport permease protein,Listeria innocua ATCC 33091,267,1002366
H1G7P6,H1G7P6_LISIO,unreviewed,A/G-specific adenine glycosylase,Listeria innocua ATCC 33091,365,1002366
H1G948,H1G948_LISIO,unreviewed,MOSC domain protein,Listeria innocua ATCC 33091,213,1002366
H1GCW9,H1GCW9_LISIO,unreviewed,Cobalt transport protein CbiN (Energy-coupling factor transporter probable substrate-capture protein CbiN) (ECF transporter S component CbiN),Listeria innocua ATCC 33091,98,1002366
H1GCY0,H1GCY0_LISIO,unreviewed,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,Listeria innocua ATCC 33091,337,1002366
H1GAF8,H1GAF8_LISIO,unreviewed,PTS system fructose-specific EIIBBC component family protein,Listeria innocua ATCC 33091,464,1002366
H1GBY0,H1GBY0_LISIO,unreviewed,Putative endoribonuclease L-PSP,Listeria innocua ATCC 33091,125,1002366
H1GDU3,H1GDU3_LISIO,unreviewed,GTP diphosphokinase,Listeria innocua ATCC 33091,738,1002366
H1GB72,H1GB72_LISIO,unreviewed,HTH-type transcriptional regulator GmuR,Listeria innocua ATCC 33091,242,1002366
H1GCP9,H1GCP9_LISIO,unreviewed,Uncharacterized protein,Listeria innocua ATCC 33091,156,1002366
H1GFI4,H1GFI4_LISIO,unreviewed,SMI1 / KNR4 family protein,Listeria innocua ATCC 33091,160,1002366
H1GAS5,H1GAS5_LISIO,unreviewed,Uncharacterized protein,Listeria innocua ATCC 33091,84,1002366
H1GEU0,H1GEU0_LISIO,unreviewed,Putative septation protein SpoVG,Listeria innocua ATCC 33091,102,1002366
H1G966,H1G966_LISIO,unreviewed,Uncharacterized protein,Listeria innocua ATCC 33091,377,1002366
H1GER9,H1GER9_LISIO,unreviewed,33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33),Listeria innocua ATCC 33091,294,1002366
H1G8M6,H1G8M6_LISIO,unreviewed,"5'-3' exonuclease, SAM domain protein",Listeria innocua ATCC 33091,290,1002366
H1GFM3,H1GFM3_LISIO,unreviewed,"ABC transporter, ATP-binding protein",Listeria innocua ATCC 33091,575,1002366
H1G7U5,H1G7U5_LISIO,unreviewed,"Alcohol dehydrogenase, iron-dependent",Listeria innocua ATCC 33091,367,1002366
H1GFT5,H1GFT5_LISIO,unreviewed,Putative histidine kinase KdpD,Listeria innocua ATCC 33091,896,1002366
H1G7P3,H1G7P3_LISIO,unreviewed,Uncharacterized protein,Listeria innocua ATCC 33091,362,1002366
H1G959,H1G959_LISIO,unreviewed,Redox-sensing transcriptional repressor Rex,Listeria innocua ATCC 33091,238,1002366
H1G854,H1G854_LISIO,unreviewed,Uncharacterized protein,Listeria innocua ATCC 33091,170,1002366
H1GD52,H1GD52_LISIO,unreviewed,Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.n3) (Lysophosphatidic acid synthase) (LPA synthase),Listeria innocua ATCC 33091,198,1002366
H1GAJ9,H1GAJ9_LISIO,unreviewed,LPXTG-motif protein cell wall anchor domain protein,Listeria innocua ATCC 33091,410,1002366
H1GB12,H1GB12_LISIO,unreviewed,Leucine Rich repeat-containing domain protein,Listeria innocua ATCC 33091,701,1002366
H1G9L0,H1G9L0_LISIO,unreviewed,Protein hit,Listeria innocua ATCC 33091,140,1002366
H1GEP0,H1GEP0_LISIO,unreviewed,30S ribosomal protein S16,Listeria innocua ATCC 33091,90,1002366
H1GEZ9,H1GEZ9_LISIO,unreviewed,Cyclic diguanylate phosphodiesterase domain protein,Listeria innocua ATCC 33091,249,1002366
H1GFV4,H1GFV4_LISIO,unreviewed,"Acetyltransferase, GNAT family",Listeria innocua ATCC 33091,159,1002366
H1GD96,H1GD96_LISIO,unreviewed,tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase),Listeria innocua ATCC 33091,304,1002366
