Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
A1KJA4,3MGH_MYCBP,reviewed,Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-),Mycobacterium bovis (strain BCG / Pasteur 1173P2),203,410289
A1KLL9,ACPS_MYCBP,reviewed,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS),Mycobacterium bovis (strain BCG / Pasteur 1173P2),130,410289
A1KQD8,A85A_MYCBP,reviewed,Diacylglycerol acyltransferase/mycolyltransferase Ag85A (DGAT) (EC 2.3.1.122) (EC 2.3.1.20) (Acyl-CoA:diacylglycerol acyltransferase) (Antigen 85 complex A) (85A) (Ag85A) (Fibronectin-binding protein A) (Fbps A),Mycobacterium bovis (strain BCG / Pasteur 1173P2),338,410289
A1KJU9,A85B_MYCBP,reviewed,Diacylglycerol acyltransferase/mycolyltransferase Ag85B (DGAT) (EC 2.3.1.122) (EC 2.3.1.20) (30 kDa extracellular protein) (Acyl-CoA:diacylglycerol acyltransferase) (Antigen 85 complex B) (85B) (Ag85B) (Extracellular alpha-antigen) (Fibronectin-binding protein B) (Fbps B),Mycobacterium bovis (strain BCG / Pasteur 1173P2),325,410289
A1KMR7,ACYP_MYCBP,reviewed,Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),93,410289
A1KPM0,ACDH_MYCBP,reviewed,Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating]),Mycobacterium bovis (strain BCG / Pasteur 1173P2),303,410289
A1KLC4,AHPD_MYCBP,reviewed,Alkyl hydroperoxide reductase AhpD (EC 1.11.1.15) (Alkylhydroperoxidase AhpD),Mycobacterium bovis (strain BCG / Pasteur 1173P2),177,410289
A1KP00,ADD_MYCBP,reviewed,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),365,410289
P80069,APA_MYCBP,reviewed,Alanine and proline-rich secreted protein Apa (45/47 kDa antigen) (FAP-B) (Fibronectin attachment protein),Mycobacterium bovis (strain BCG / Pasteur 1173P2),325,410289
A1KLT2,APT_MYCBP,reviewed,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),Mycobacterium bovis (strain BCG / Pasteur 1173P2),223,410289
A1KHD9,ARCA_MYCBP,reviewed,Arginine deiminase (ADI) (EC 3.5.3.6) (Arginine dihydrolase) (AD),Mycobacterium bovis (strain BCG / Pasteur 1173P2),402,410289
A1KKF8,ARC_MYCBP,reviewed,Proteasome-associated ATPase (AAA ATPase forming ring-shaped complexes) (ARC) (Mycobacterial proteasome ATPase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),609,410289
A1KH32,ARFB_MYCBP,reviewed,Uncharacterized membrane protein ArfB,Mycobacterium bovis (strain BCG / Pasteur 1173P2),50,410289
A1KJ74,ARGR_MYCBP,reviewed,Arginine repressor,Mycobacterium bovis (strain BCG / Pasteur 1173P2),170,410289
A1KLN7,AROC_MYCBP,reviewed,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),401,410289
A1KLN4,AROQ_MYCBP,reviewed,3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),147,410289
A1KKQ5,AMPA_MYCBP,reviewed,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),Mycobacterium bovis (strain BCG / Pasteur 1173P2),515,410289
A1KH31,ARFA_MYCBP,reviewed,Peptidoglycan-binding protein ArfA (Outer membrane protein A) (OmpATb) (Outer membrane protein ArfA),Mycobacterium bovis (strain BCG / Pasteur 1173P2),326,410289
A1KGT3,APEB_MYCBP,reviewed,Probable M18 family aminopeptidase 2 (EC 3.4.11.-),Mycobacterium bovis (strain BCG / Pasteur 1173P2),433,410289
