Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
Q73G53,3MGH_WOLPM,reviewed,Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-),Wolbachia pipientis wMel,180,163164
Q73GW5,ACPS_WOLPM,reviewed,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS),Wolbachia pipientis wMel,123,163164
Q73G26,APAG_WOLPM,reviewed,Protein ApaG,Wolbachia pipientis wMel,133,163164
Q73IU2,AMPA_WOLPM,reviewed,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),Wolbachia pipientis wMel,500,163164
Q73HW3,ATP6_WOLPM,reviewed,ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6),Wolbachia pipientis wMel,241,163164
Q73FU0,ATPG_WOLPM,reviewed,ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit),Wolbachia pipientis wMel,290,163164
Q73IG3,ATPB_WOLPM,reviewed,ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),Wolbachia pipientis wMel,475,163164
Q73HB2,ATPA_WOLPM,reviewed,ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),Wolbachia pipientis wMel,513,163164
Q73HB1,ATPD_WOLPM,reviewed,ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta),Wolbachia pipientis wMel,186,163164
Q73HW2,ATPL_WOLPM,reviewed,ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein),Wolbachia pipientis wMel,75,163164
Q73IG2,ATPE_WOLPM,reviewed,ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit),Wolbachia pipientis wMel,114,163164
Q73GI2,CCME_WOLPM,reviewed,Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE),Wolbachia pipientis wMel,130,163164
Q73HX8,CCMA_WOLPM,reviewed,Cytochrome c biogenesis ATP-binding export protein CcmA (EC 3.6.3.41) (Heme exporter protein A),Wolbachia pipientis wMel,207,163164
Q73I70,CH10_WOLPM,reviewed,10 kDa chaperonin (GroES protein) (Protein Cpn10),Wolbachia pipientis wMel,96,163164
Q73I71,CH60_WOLPM,reviewed,60 kDa chaperonin (GroEL protein) (Protein Cpn60),Wolbachia pipientis wMel,549,163164
Q73IE4,CLPB_WOLPM,reviewed,Chaperone protein ClpB,Wolbachia pipientis wMel,853,163164
Q73HM7,COAD_WOLPM,reviewed,Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT),Wolbachia pipientis wMel,168,163164
Q73IH9,COAE_WOLPM,reviewed,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase),Wolbachia pipientis wMel,195,163164
Q73I59,CLPP_WOLPM,reviewed,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp),Wolbachia pipientis wMel,208,163164
Q73I60,CLPX_WOLPM,reviewed,ATP-dependent Clp protease ATP-binding subunit ClpX,Wolbachia pipientis wMel,425,163164
Q73I75,COXX_WOLPM,reviewed,Protoheme IX farnesyltransferase (EC 2.5.1.-) (Heme B farnesyltransferase) (Heme O synthase),Wolbachia pipientis wMel,295,163164
Q73H02,DAPA_WOLPM,reviewed,4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7),Wolbachia pipientis wMel,293,163164
Q73IQ8,DDL_WOLPM,reviewed,D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase),Wolbachia pipientis wMel,315,163164
Q73I07,DCD_WOLPM,reviewed,dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase),Wolbachia pipientis wMel,185,163164
Q73GC9,DCUP_WOLPM,reviewed,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37),Wolbachia pipientis wMel,338,163164
Q73H59,DAPD_WOLPM,reviewed,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)",Wolbachia pipientis wMel,273,163164
Q73GZ0,DAPE_WOLPM,reviewed,"Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)",Wolbachia pipientis wMel,398,163164
Q73HV8,CTAA_WOLPM,reviewed,Heme A synthase (HAS) (EC 1.3.-.-) (Cytochrome aa3-controlling protein),Wolbachia pipientis wMel,350,163164
Q73IJ6,DEF_WOLPM,reviewed,Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase),Wolbachia pipientis wMel,179,163164
Q73I13,DAPB_WOLPM,reviewed,4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8),Wolbachia pipientis wMel,261,163164
Q73IZ0,DNAA_WOLPM,reviewed,Chromosomal replication initiator protein DnaA,Wolbachia pipientis wMel,460,163164
Q73IV4,DNAJ_WOLPM,reviewed,Chaperone protein DnaJ,Wolbachia pipientis wMel,372,163164
Q73GL7,DNAK_WOLPM,reviewed,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),Wolbachia pipientis wMel,640,163164
Q73H01,DNLJ_WOLPM,reviewed,DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)]),Wolbachia pipientis wMel,662,163164
Q73GG3,DXR_WOLPM,reviewed,1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase),Wolbachia pipientis wMel,387,163164
P61913,DUT_WOLPM,reviewed,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase),Wolbachia pipientis wMel,153,163164
Q73IX7,EFG_WOLPM,reviewed,Elongation factor G (EF-G),Wolbachia pipientis wMel,691,163164
Q73HQ2,ENO_WOLPM,reviewed,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),Wolbachia pipientis wMel,424,163164
Q73IX6,EFTU1_WOLPM,reviewed,Elongation factor Tu 1 (EF-Tu 1),Wolbachia pipientis wMel,390,163164
Q73H85,EFTU2_WOLPM,reviewed,Elongation factor Tu 2 (EF-Tu 2),Wolbachia pipientis wMel,390,163164
Q73IH1,GUAA_WOLPM,reviewed,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase),Wolbachia pipientis wMel,520,163164
