Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
A0A0M2Y6R2,A0A0M2Y6R2_BRUML,unreviewed,Ferredoxin,Brucella melitensis,138,29459
A0A0M2Y802,A0A0M2Y802_BRUML,unreviewed,Aminomethyltransferase (EC 2.1.2.10),Brucella melitensis,367,29459
A0A1B3S1A4,A0A1B3S1A4_BRUML,unreviewed,Transposase,Brucella melitensis,221,29459
A0A1B3S305,A0A1B3S305_BRUML,unreviewed,Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO),Brucella melitensis,437,29459
A0A0M2Y5Z0,A0A0M2Y5Z0_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,93,29459
A0A0M2Y8B0,A0A0M2Y8B0_BRUML,unreviewed,NAD-dependent dehydratase,Brucella melitensis,336,29459
A0A0M2YDI8,A0A0M2YDI8_BRUML,unreviewed,Beta-ketoacyl-[acyl-carrier-protein] synthase I,Brucella melitensis,407,29459
A0A1B3S0H3,A0A1B3S0H3_BRUML,unreviewed,Ammonium transporter,Brucella melitensis,433,29459
A0A0M2Y6Y5,A0A0M2Y6Y5_BRUML,unreviewed,Acetyltransferase,Brucella melitensis,142,29459
A0A0M2Y7W5,A0A0M2Y7W5_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,622,29459
A0A1B3S3H5,A0A1B3S3H5_BRUML,unreviewed,ABC transporter permease,Brucella melitensis,332,29459
A0A1B3S4T3,A0A1B3S4T3_BRUML,unreviewed,Sugar ABC transporter,Brucella melitensis,233,29459
A0A1C1UTZ4,A0A1C1UTZ4_BRUML,unreviewed,Calcium-binding protein,Brucella melitensis,184,29459
A0A0M2Y1W5,A0A0M2Y1W5_BRUML,unreviewed,Phosphomannomutase,Brucella melitensis,477,29459
A0A0M2Y766,A0A0M2Y766_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,79,29459
A0A0M2Y896,A0A0M2Y896_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,101,29459
A0A0M2Y981,A0A0M2Y981_BRUML,unreviewed,GntR family transcriptional regulator,Brucella melitensis,160,29459
A0A0M2Y9I1,A0A0M2Y9I1_BRUML,unreviewed,ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),Brucella melitensis,509,29459
A0A1B3RWA9,A0A1B3RWA9_BRUML,unreviewed,Prephenate dehydratase,Brucella melitensis,287,29459
A0A1B3RXD7,A0A1B3RXD7_BRUML,unreviewed,Integrase,Brucella melitensis,119,29459
A0A1B3RZ59,A0A1B3RZ59_BRUML,unreviewed,Precorrin-3B C(17)-methyltransferase,Brucella melitensis,568,29459
A0A1B3S011,A0A1B3S011_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,197,29459
A0A1B3S096,A0A1B3S096_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,114,29459
A0A1B3S1K7,A0A1B3S1K7_BRUML,unreviewed,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13),Brucella melitensis,396,29459
A0A1B3S2I5,A0A1B3S2I5_BRUML,unreviewed,Efflux transporter periplasmic adaptor subunit,Brucella melitensis,407,29459
A0A1B3S4C9,A0A1B3S4C9_BRUML,unreviewed,Flagellar motor protein MotB,Brucella melitensis,366,29459
A0A1C1UU58,A0A1C1UU58_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,102,29459
A0A1C1UYG7,A0A1C1UYG7_BRUML,unreviewed,Double-strand break repair protein AddB,Brucella melitensis,1052,29459
A0A1C1V8B8,A0A1C1V8B8_BRUML,unreviewed,Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing]),Brucella melitensis,559,29459
A0A0M2Y564,A0A0M2Y564_BRUML,unreviewed,Transfer Agent,Brucella melitensis,113,29459
A0A0M2Y6R7,A0A0M2Y6R7_BRUML,unreviewed,DNA polymerase III subunit chi,Brucella melitensis,149,29459
A0A0M2Y728,A0A0M2Y728_BRUML,unreviewed,50S ribosomal protein L24,Brucella melitensis,103,29459
A0A0M2Y7T7,A0A0M2Y7T7_BRUML,unreviewed,ATPase,Brucella melitensis,260,29459
A0A0M2Y8Y1,A0A0M2Y8Y1_BRUML,unreviewed,Glutathione S-transferase,Brucella melitensis,201,29459
A0A0M2Y994,A0A0M2Y994_BRUML,unreviewed,Putative membrane protein insertion efficiency factor,Brucella melitensis,123,29459
A0A0M2YD76,A0A0M2YD76_BRUML,unreviewed,AsnC family transcriptional regulator,Brucella melitensis,78,29459
A0A1B3RWN3,A0A1B3RWN3_BRUML,unreviewed,Copper-translocating P-type ATPase,Brucella melitensis,826,29459
A0A1B3RZM8,A0A1B3RZM8_BRUML,unreviewed,Lysophospholipase,Brucella melitensis,314,29459
A0A1B3S1L8,A0A1B3S1L8_BRUML,unreviewed,Beta-hydroxylase,Brucella melitensis,200,29459
A0A1B3S3K7,A0A1B3S3K7_BRUML,unreviewed,Probable membrane transporter protein,Brucella melitensis,306,29459
A0A1B3S1V9,A0A1B3S1V9_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,66,29459
A0A1B3S377,A0A1B3S377_BRUML,unreviewed,Uncharacterized protein,Brucella melitensis,153,29459
A0A0M2Y7V8,A0A0M2Y7V8_BRUML,unreviewed,30S ribosomal protein S2,Brucella melitensis,256,29459
A0A1C1USD4,A0A1C1USD4_BRUML,unreviewed,Dihydroxyacetone kinase,Brucella melitensis,319,29459
