Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
Q7W860,ACCA_BORPA,reviewed,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),321,257311
Q7W5I7,ACP_BORPA,reviewed,Acyl carrier protein (ACP),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),79,257311
Q7WC96,53DR_BORPA,reviewed,Putative 5'(3')-deoxyribonucleotidase (EC 3.1.3.-),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),186,257311
Q7W2P4,ACEK_BORPA,reviewed,Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),600,257311
Q7W9J6,ACPS_BORPA,reviewed,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),153,257311
Q7W2L1,ACYP_BORPA,reviewed,Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),94,257311
Q7WBG5,ADE_BORPA,reviewed,Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),317,257311
Q7W5K6,AMPA_BORPA,reviewed,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),499,257311
Q7W3Z6,ANMK_BORPA,reviewed,Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),378,257311
P65200,ALCA_BORPA,reviewed,Alcaligin biosynthesis enzyme (EC 1.-.-.-),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),461,257311
Q7W602,AROA_BORPA,reviewed,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),442,257311
Q7W3S6,ARGJ_BORPA,reviewed,Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)],Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),408,257311
Q7W2B6,AROB_BORPA,reviewed,3-dehydroquinate synthase (EC 4.2.3.4),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),358,257311
Q7W3L2,APT_BORPA,reviewed,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),191,257311
Q7W917,AQPZ_BORPA,reviewed,Aquaporin Z,Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),236,257311
Q7W393,APAG_BORPA,reviewed,Protein ApaG,Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),131,257311
Q7W3V0,APAH_BORPA,reviewed,"Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)",Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),277,257311
Q7W7H6,ARGD1_BORPA,reviewed,Acetylornithine aminotransferase 1 (ACOAT 1) (EC 2.6.1.11),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),393,257311
Q7W2N9,ARGD2_BORPA,reviewed,Acetylornithine aminotransferase 2 (ACOAT 2) (EC 2.6.1.11),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),396,257311
Q7W3Z3,ARGC_BORPA,reviewed,N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),354,257311
Q7W3I6,ARGB_BORPA,reviewed,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),300,257311
Q7W3B0,ATPB_BORPA,reviewed,ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),466,257311
Q7W3A7,ATPD_BORPA,reviewed,ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),179,257311
Q7W3A6,ATPF_BORPA,reviewed,ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),156,257311
Q7W3V9,AROQ_BORPA,reviewed,3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),144,257311
Q7W850,ASPD2_BORPA,reviewed,Probable L-aspartate dehydrogenase 2 (EC 1.4.1.21),Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253),267,257311
