Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
G7DEQ1,G7DEQ1_BRAJP,unreviewed,Type III effector NopAM,Bradyrhizobium japonicum USDA 6,126,1037409
G7DEU8,G7DEU8_BRAJP,unreviewed,Type III effector NopAI,Bradyrhizobium japonicum USDA 6,150,1037409
G7DET6,G7DET6_BRAJP,unreviewed,Transposase,Bradyrhizobium japonicum USDA 6,315,1037409
G7D3I9,G7D3I9_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,74,1037409
G7DM07,G7DM07_BRAJP,unreviewed,ABC transporter ATP-binding protein,Bradyrhizobium japonicum USDA 6,353,1037409
G7DMA0,G7DMA0_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,303,1037409
G7D6C0,G7D6C0_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,131,1037409
G7D6X4,G7D6X4_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,256,1037409
G7D723,G7D723_BRAJP,unreviewed,"Fructose-1,6-bisphosphate aldolase protein",Bradyrhizobium japonicum USDA 6,361,1037409
G7DIY5,G7DIY5_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,400,1037409
G7DJ38,G7DJ38_BRAJP,unreviewed,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase),Bradyrhizobium japonicum USDA 6,717,1037409
G7DQN6,G7DQN6_BRAJP,unreviewed,Dehydrogenase,Bradyrhizobium japonicum USDA 6,312,1037409
G7D229,G7D229_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,293,1037409
G7D377,G7D377_BRAJP,unreviewed,NUDIX hydrolase,Bradyrhizobium japonicum USDA 6,152,1037409
G7D412,G7D412_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,228,1037409
G7D2T3,G7D2T3_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,142,1037409
G7D515,G7D515_BRAJP,unreviewed,50S ribosomal protein L30,Bradyrhizobium japonicum USDA 6,64,1037409
G7DAS9,G7DAS9_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,371,1037409
G7D1Y5,G7D1Y5_BRAJP,unreviewed,Transcriptional regulatory protein,Bradyrhizobium japonicum USDA 6,192,1037409
G7DFT5,G7DFT5_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,238,1037409
G7DI99,G7DI99_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,373,1037409
G7DK46,G7DK46_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,101,1037409
G7DKB3,G7DKB3_BRAJP,unreviewed,ABC transporter permease protein,Bradyrhizobium japonicum USDA 6,323,1037409
G7DJU1,G7DJU1_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,186,1037409
G7D481,G7D481_BRAJP,unreviewed,Phenylacetic acid degradation protein,Bradyrhizobium japonicum USDA 6,258,1037409
G7DFS2,G7DFS2_BRAJP,unreviewed,ABC transporter permease protein,Bradyrhizobium japonicum USDA 6,285,1037409
G7D248,G7D248_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,381,1037409
G7D2P3,G7D2P3_BRAJP,unreviewed,Two-component sensor histidine kinase,Bradyrhizobium japonicum USDA 6,858,1037409
G7D4T1,G7D4T1_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,160,1037409
G7D5L1,G7D5L1_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,362,1037409
G7D8Q0,G7D8Q0_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,319,1037409
G7DC42,G7DC42_BRAJP,unreviewed,Decarboxylase,Bradyrhizobium japonicum USDA 6,450,1037409
G7DEG7,G7DEG7_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,506,1037409
G7DHP0,G7DHP0_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,144,1037409
G7DJA9,G7DJA9_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,521,1037409
G7DKH9,G7DKH9_BRAJP,unreviewed,Oxidoreductase protein,Bradyrhizobium japonicum USDA 6,250,1037409
G7DQ13,G7DQ13_BRAJP,unreviewed,Uncharacterized protein,Bradyrhizobium japonicum USDA 6,622,1037409
