P42224,STAT1_HUMAN,reviewed,Transcription factor STAT family,PF00017;PF12162;PF01017;PF02864;PF02865;,,Homo sapiens (Human),9606,Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84),P42224
P52630,STAT2_HUMAN,reviewed,Transcription factor STAT family,PF00017;PF12188;PF01017;PF02864;PF02865;,,Homo sapiens (Human),9606,Signal transducer and activator of transcription 2 (p113),P52630
Q9Y692,GMEB1_HUMAN,reviewed,,PF01342;,,Homo sapiens (Human),9606,Glucocorticoid modulatory element-binding protein 1 (GMEB-1) (DNA-binding protein p96PIF) (Parvovirus initiation factor p96) (PIF p96),Q9Y692
P45984,MK09_HUMAN,reviewed,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",PF00069;,,Homo sapiens (Human),9606,Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2),P45984
O00459,P85B_HUMAN,reviewed,PI3K p85 subunit family,PF16454;PF00620;PF00017;,,Homo sapiens (Human),9606,Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta),O00459
O75348,VATG1_HUMAN,reviewed,V-ATPase G subunit family,,,Homo sapiens (Human),9606,V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16),O75348
Q13227,GPS2_HUMAN,reviewed,,PF15991;,,Homo sapiens (Human),9606,G protein pathway suppressor 2 (GPS-2),Q13227
Q15942,ZYX_HUMAN,reviewed,Zyxin/ajuba family,PF00412;,,Homo sapiens (Human),9606,Zyxin (Zyxin-2),Q15942
P27986,P85A_HUMAN,reviewed,PI3K p85 subunit family,PF16454;PF00620;PF00017;,,Homo sapiens (Human),9606,Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha),P27986
P21912,SDHB_HUMAN,reviewed,Succinate dehydrogenase/fumarate reductase iron-sulfur protein family,PF13085;,,Homo sapiens (Human),9606,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)",P21912
P35658,NU214_HUMAN,reviewed,,,,Homo sapiens (Human),9606,Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN),P35658
Q13155,AIMP2_HUMAN,reviewed,,PF16780;PF00043;,,Homo sapiens (Human),9606,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),Q13155
Q9Y6N6,LAMC3_HUMAN,reviewed,,PF00052;PF00053;PF00055;,,Homo sapiens (Human),9606,Laminin subunit gamma-3 (Laminin-12 subunit gamma) (Laminin-14 subunit gamma) (Laminin-15 subunit gamma),Q9Y6N6
P15822,ZEP1_HUMAN,reviewed,,,,Homo sapiens (Human),9606,Zinc finger protein 40 (Cirhin interaction protein) (CIRIP) (Gate keeper of apoptosis-activating protein) (GAAP) (Human immunodeficiency virus type I enhancer-binding protein 1) (HIV-EP1) (Major histocompatibility complex-binding protein 1) (MBP-1) (Positive regulatory domain II-binding factor 1) (PRDII-BF1),P15822
Q96HA1,P121A_HUMAN,reviewed,POM121 family,,,Homo sapiens (Human),9606,Nuclear envelope pore membrane protein POM 121 (Nuclear envelope pore membrane protein POM 121A) (Nucleoporin Nup121) (Pore membrane protein of 121 kDa),Q96HA1
Q9BSY4,CHCH5_HUMAN,reviewed,,PF06747;PF16860;,,Homo sapiens (Human),9606,Coiled-coil-helix-coiled-coil-helix domain-containing protein 5,Q9BSY4
Q8N4C6,NIN_HUMAN,reviewed,,,,Homo sapiens (Human),9606,Ninein (hNinein) (Glycogen synthase kinase 3 beta-interacting protein) (GSK3B-interacting protein),Q8N4C6
P07942,LAMB1_HUMAN,reviewed,,PF00053;PF00055;,,Homo sapiens (Human),9606,Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta),P07942
Q99759,M3K3_HUMAN,reviewed,"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",PF00564;PF00069;,,Homo sapiens (Human),9606,Mitogen-activated protein kinase kinase kinase 3 (EC 2.7.11.25) (MAPK/ERK kinase kinase 3) (MEK kinase 3) (MEKK 3),Q99759
Q4J6C6,PPCEL_HUMAN,reviewed,Peptidase S9A family,PF00326;PF02897;,,Homo sapiens (Human),9606,Prolyl endopeptidase-like (EC 3.4.21.-) (Prolylendopeptidase-like),Q4J6C6
Q14160,SCRIB_HUMAN,reviewed,LAP (LRR and PDZ) protein family,PF13855;PF00595;,,Homo sapiens (Human),9606,Protein scribble homolog (Scribble) (hScrib) (Protein LAP4),Q14160
Q9H3R5,CENPH_HUMAN,reviewed,Centromere protein H family,PF05837;,,Homo sapiens (Human),9606,Centromere protein H (CENP-H) (Interphase centromere complex protein 35),Q9H3R5
P19429,TNNI3_HUMAN,reviewed,Troponin I family,PF00992;PF11636;,,Homo sapiens (Human),9606,"Troponin I, cardiac muscle (Cardiac troponin I)",P19429
O15226,NKRF_HUMAN,reviewed,,PF01585;PF01424;,,Homo sapiens (Human),9606,NF-kappa-B-repressing factor (NFkB-repressing factor) (Protein ITBA4) (Transcription factor NRF),O15226
Q13105,ZBT17_HUMAN,reviewed,Krueppel C2H2-type zinc-finger protein family,PF00651;,,Homo sapiens (Human),9606,Zinc finger and BTB domain-containing protein 17 (Myc-interacting zinc finger protein 1) (Miz-1) (Zinc finger protein 151) (Zinc finger protein 60),Q13105
Q13561,DCTN2_HUMAN,reviewed,Dynactin subunit 2 family,PF04912;,,Homo sapiens (Human),9606,Dynactin subunit 2 (50 kDa dynein-associated polypeptide) (Dynactin complex 50 kDa subunit) (DCTN-50) (p50 dynamitin),Q13561
Q96SI9,STRBP_HUMAN,reviewed,,PF00035;PF07528;,,Homo sapiens (Human),9606,Spermatid perinuclear RNA-binding protein,Q96SI9
P01857,IGHG1_HUMAN,reviewed,,PF07654;,,Homo sapiens (Human),9606,Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE),P01857
Q9UBW7,ZMYM2_HUMAN,reviewed,,PF12012;PF06467;,,Homo sapiens (Human),9606,Zinc finger MYM-type protein 2 (Fused in myeloproliferative disorders protein) (Rearranged in atypical myeloproliferative disorder protein) (Zinc finger protein 198),Q9UBW7
P06396,GELS_HUMAN,reviewed,Villin/gelsolin family,PF00626;,,Homo sapiens (Human),9606,Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin),P06396
O75569,PRKRA_HUMAN,reviewed,PRKRA family,PF00035;PF16482;,,Homo sapiens (Human),9606,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PKR-associated protein X) (PKR-associating protein X) (Protein activator of the interferon-induced protein kinase) (Protein kinase, interferon-inducible double-stranded RNA-dependent activator)",O75569
P06733,ENOA_HUMAN,reviewed,Enolase family,PF00113;PF03952;,PIRSF001400;,Homo sapiens (Human),9606,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein),P06733
Q5W0U4,BSPRY_HUMAN,reviewed,,PF13765;PF00622;,,Homo sapiens (Human),9606,B box and SPRY domain-containing protein,Q5W0U4
Q96MW5,COG8_HUMAN,reviewed,COG8 family,PF04124;,PIRSF015415;,Homo sapiens (Human),9606,Conserved oligomeric Golgi complex subunit 8 (COG complex subunit 8) (Component of oligomeric Golgi complex 8),Q96MW5
P63167,DYL1_HUMAN,reviewed,Dynein light chain family,PF01221;,,Homo sapiens (Human),9606,"Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)",P63167
P63208,SKP1_HUMAN,reviewed,SKP1 family,PF01466;PF03931;,PIRSF028729;,Homo sapiens (Human),9606,S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1),P63208
O95793,STAU1_HUMAN,reviewed,,PF00035;PF16482;,,Homo sapiens (Human),9606,Double-stranded RNA-binding protein Staufen homolog 1,O95793
P78352,DLG4_HUMAN,reviewed,MAGUK family,PF00625;PF10608;PF00595;PF10600;PF00018;,PIRSF001741;,Homo sapiens (Human),9606,Disks large homolog 4 (Postsynaptic density protein 95) (PSD-95) (Synapse-associated protein 90) (SAP-90) (SAP90),P78352
Q8TD31,CCHCR_HUMAN,reviewed,,PF07111;,,Homo sapiens (Human),9606,Coiled-coil alpha-helical rod protein 1 (Alpha-helical coiled-coil rod protein) (Putative gene 8 protein) (Pg8),Q8TD31
Q9Y6X2,PIAS3_HUMAN,reviewed,PIAS family,PF14324;PF02891;,,Homo sapiens (Human),9606,E3 SUMO-protein ligase PIAS3 (EC 6.3.2.-) (Protein inhibitor of activated STAT protein 3),Q9Y6X2
O95229,ZWINT_HUMAN,reviewed,,PF15556;,,Homo sapiens (Human),9606,ZW10 interactor (ZW10-interacting protein 1) (Zwint-1),O95229
Q12906,ILF3_HUMAN,reviewed,,PF00035;PF07528;,,Homo sapiens (Human),9606,Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80),Q12906
Q9NUL3,STAU2_HUMAN,reviewed,,PF00035;PF16482;,,Homo sapiens (Human),9606,Double-stranded RNA-binding protein Staufen homolog 2,Q9NUL3
Q5SXM2,SNPC4_HUMAN,reviewed,,PF00249;,,Homo sapiens (Human),9606,snRNA-activating protein complex subunit 4 (SNAPc subunit 4) (Proximal sequence element-binding transcription factor subunit alpha) (PSE-binding factor subunit alpha) (PTF subunit alpha) (snRNA-activating protein complex 190 kDa subunit) (SNAPc 190 kDa subunit),Q5SXM2
Q9Y244,POMP_HUMAN,reviewed,POMP/UMP1 family,,,Homo sapiens (Human),9606,Proteasome maturation protein (Proteassemblin) (Protein UMP1 homolog) (hUMP1) (Voltage-gated K channel beta subunit 4.1),Q9Y244
O14907,TX1B3_HUMAN,reviewed,,PF00595;,PIRSF037712;,Homo sapiens (Human),9606,Tax1-binding protein 3 (Glutaminase-interacting protein 3) (Tax interaction protein 1) (TIP-1) (Tax-interacting protein 1),O14907
P18583,SON_HUMAN,reviewed,,PF01585;,,Homo sapiens (Human),9606,Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3),P18583
P63010,AP2B1_HUMAN,reviewed,Adaptor complexes large subunit family,PF01602;PF02883;PF09066;,PIRSF002291;,Homo sapiens (Human),9606,AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit),P63010
Q9NY93,DDX56_HUMAN,reviewed,"DEAD box helicase family, DDX56/DBP9 subfamily",PF00270;PF00271;,,Homo sapiens (Human),9606,Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56),Q9NY93
O14908,GIPC1_HUMAN,reviewed,GIPC family,PF00595;,PIRSF038083;,Homo sapiens (Human),9606,PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2),O14908
Q9C099,LRCC1_HUMAN,reviewed,LRRCC1 family,,,Homo sapiens (Human),9606,Leucine-rich repeat and coiled-coil domain-containing protein 1 (Centrosomal leucine-rich repeat and coiled-coil domain-containing protein),Q9C099
Q6PI77,BHLH9_HUMAN,reviewed,GPRASP family,PF04826;,,Homo sapiens (Human),9606,Protein BHLHb9 (bHLHb9) (Transcription regulator of 60 kDa) (p60TRP),Q6PI77
O95219,SNX4_HUMAN,reviewed,Sorting nexin family,PF00787;,,Homo sapiens (Human),9606,Sorting nexin-4,O95219
Q15633,TRBP2_HUMAN,reviewed,TARBP2 family,PF00035;,,Homo sapiens (Human),9606,RISC-loading complex subunit TARBP2 (TAR RNA-binding protein 2) (Trans-activation-responsive RNA-binding protein),Q15633
Q96RT1,ERBIN_HUMAN,reviewed,LAP (LRR and PDZ) protein family,PF13855;PF00595;,,Homo sapiens (Human),9606,Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2),Q96RT1
P25445,TNR6_HUMAN,reviewed,,PF00531;PF00020;,,Homo sapiens (Human),9606,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),P25445
P06400,RB_HUMAN,reviewed,Retinoblastoma protein (RB) family,PF11934;PF01858;PF01857;PF08934;,,Homo sapiens (Human),9606,Retinoblastoma-associated protein (p105-Rb) (pRb) (Rb) (pp110),P06400
P46527,CDN1B_HUMAN,reviewed,CDI family,PF02234;,,Homo sapiens (Human),9606,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),P46527
Q9UER7,DAXX_HUMAN,reviewed,DAXX family,PF03344;,,Homo sapiens (Human),9606,Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein),Q9UER7
P04637,P53_HUMAN,reviewed,P53 family,PF00870;PF08563;PF07710;,,Homo sapiens (Human),9606,Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53),P04637
Q96JJ7,TMX3_HUMAN,reviewed,Protein disulfide isomerase family,PF00085;,,Homo sapiens (Human),9606,Protein disulfide-isomerase TMX3 (EC 5.3.4.1) (Thioredoxin domain-containing protein 10) (Thioredoxin-related transmembrane protein 3),Q96JJ7
Q13323,BIK_HUMAN,reviewed,,PF12201;,,Homo sapiens (Human),9606,Bcl-2-interacting killer (Apoptosis inducer NBK) (BIP1) (BP4),Q13323
Q9BQB6,VKOR1_HUMAN,reviewed,VKOR family,PF07884;,,Homo sapiens (Human),9606,"Vitamin K epoxide reductase complex subunit 1 (EC 1.17.4.4) (Vitamin K1 2,3-epoxide reductase subunit 1)",Q9BQB6
Q9HCU5,PREB_HUMAN,reviewed,,PF00400;,,Homo sapiens (Human),9606,Prolactin regulatory element-binding protein (Mammalian guanine nucleotide exchange factor mSec12),Q9HCU5
Q9NV96,CC50A_HUMAN,reviewed,CDC50/LEM3 family,PF03381;,PIRSF015840;,Homo sapiens (Human),9606,Cell cycle control protein 50A (P4-ATPase flippase complex beta subunit TMEM30A) (Transmembrane protein 30A),Q9NV96
P59768,GBG2_HUMAN,reviewed,G protein gamma family,PF00631;,,Homo sapiens (Human),9606,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 (G gamma-I),P59768
Q99523,SORT_HUMAN,reviewed,"VPS10-related sortilin family, SORT1 subfamily",PF15902;PF15901;,,Homo sapiens (Human),9606,Sortilin (100 kDa NT receptor) (Glycoprotein 95) (Gp95) (Neurotensin receptor 3) (NT3) (NTR3),Q99523
