P42224,STAT1_HUMAN,reviewed,Transcription factor STAT family,PF00017;PF12162;PF01017;PF02864;PF02865;,,Homo sapiens (Human),9606,Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84),P42224
P45984,MK09_HUMAN,reviewed,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",PF00069;,,Homo sapiens (Human),9606,Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2),P45984
O00459,P85B_HUMAN,reviewed,PI3K p85 subunit family,PF16454;PF00620;PF00017;,,Homo sapiens (Human),9606,Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta),O00459
O75348,VATG1_HUMAN,reviewed,V-ATPase G subunit family,,,Homo sapiens (Human),9606,V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16),O75348
Q13227,GPS2_HUMAN,reviewed,,PF15991;,,Homo sapiens (Human),9606,G protein pathway suppressor 2 (GPS-2),Q13227
P27986,P85A_HUMAN,reviewed,PI3K p85 subunit family,PF16454;PF00620;PF00017;,,Homo sapiens (Human),9606,Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha),P27986
P21912,SDHB_HUMAN,reviewed,Succinate dehydrogenase/fumarate reductase iron-sulfur protein family,PF13085;,,Homo sapiens (Human),9606,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)",P21912
P35658,NU214_HUMAN,reviewed,,,,Homo sapiens (Human),9606,Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN),P35658
Q13155,AIMP2_HUMAN,reviewed,,PF16780;PF00043;,,Homo sapiens (Human),9606,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),Q13155
Q9Y6N6,LAMC3_HUMAN,reviewed,,PF00052;PF00053;PF00055;,,Homo sapiens (Human),9606,Laminin subunit gamma-3 (Laminin-12 subunit gamma) (Laminin-14 subunit gamma) (Laminin-15 subunit gamma),Q9Y6N6
P15822,ZEP1_HUMAN,reviewed,,,,Homo sapiens (Human),9606,Zinc finger protein 40 (Cirhin interaction protein) (CIRIP) (Gate keeper of apoptosis-activating protein) (GAAP) (Human immunodeficiency virus type I enhancer-binding protein 1) (HIV-EP1) (Major histocompatibility complex-binding protein 1) (MBP-1) (Positive regulatory domain II-binding factor 1) (PRDII-BF1),P15822
Q96HA1,P121A_HUMAN,reviewed,POM121 family,,,Homo sapiens (Human),9606,Nuclear envelope pore membrane protein POM 121 (Nuclear envelope pore membrane protein POM 121A) (Nucleoporin Nup121) (Pore membrane protein of 121 kDa),Q96HA1
Q9BSY4,CHCH5_HUMAN,reviewed,,PF06747;PF16860;,,Homo sapiens (Human),9606,Coiled-coil-helix-coiled-coil-helix domain-containing protein 5,Q9BSY4
Q8N4C6,NIN_HUMAN,reviewed,,,,Homo sapiens (Human),9606,Ninein (hNinein) (Glycogen synthase kinase 3 beta-interacting protein) (GSK3B-interacting protein),Q8N4C6
P07942,LAMB1_HUMAN,reviewed,,PF00053;PF00055;,,Homo sapiens (Human),9606,Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta),P07942
Q4J6C6,PPCEL_HUMAN,reviewed,Peptidase S9A family,PF00326;PF02897;,,Homo sapiens (Human),9606,Prolyl endopeptidase-like (EC 3.4.21.-) (Prolylendopeptidase-like),Q4J6C6
Q14160,SCRIB_HUMAN,reviewed,LAP (LRR and PDZ) protein family,PF13855;PF00595;,,Homo sapiens (Human),9606,Protein scribble homolog (Scribble) (hScrib) (Protein LAP4),Q14160
Q9H3R5,CENPH_HUMAN,reviewed,Centromere protein H family,PF05837;,,Homo sapiens (Human),9606,Centromere protein H (CENP-H) (Interphase centromere complex protein 35),Q9H3R5
P19429,TNNI3_HUMAN,reviewed,Troponin I family,PF00992;PF11636;,,Homo sapiens (Human),9606,"Troponin I, cardiac muscle (Cardiac troponin I)",P19429
O15226,NKRF_HUMAN,reviewed,,PF01585;PF01424;,,Homo sapiens (Human),9606,NF-kappa-B-repressing factor (NFkB-repressing factor) (Protein ITBA4) (Transcription factor NRF),O15226
Q13105,ZBT17_HUMAN,reviewed,Krueppel C2H2-type zinc-finger protein family,PF00651;,,Homo sapiens (Human),9606,Zinc finger and BTB domain-containing protein 17 (Myc-interacting zinc finger protein 1) (Miz-1) (Zinc finger protein 151) (Zinc finger protein 60),Q13105
Q13561,DCTN2_HUMAN,reviewed,Dynactin subunit 2 family,PF04912;,,Homo sapiens (Human),9606,Dynactin subunit 2 (50 kDa dynein-associated polypeptide) (Dynactin complex 50 kDa subunit) (DCTN-50) (p50 dynamitin),Q13561
Q96SI9,STRBP_HUMAN,reviewed,,PF00035;PF07528;,,Homo sapiens (Human),9606,Spermatid perinuclear RNA-binding protein,Q96SI9
P01857,IGHG1_HUMAN,reviewed,,PF07654;,,Homo sapiens (Human),9606,Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE),P01857
Q9UBW7,ZMYM2_HUMAN,reviewed,,PF12012;PF06467;,,Homo sapiens (Human),9606,Zinc finger MYM-type protein 2 (Fused in myeloproliferative disorders protein) (Rearranged in atypical myeloproliferative disorder protein) (Zinc finger protein 198),Q9UBW7
P06396,GELS_HUMAN,reviewed,Villin/gelsolin family,PF00626;,,Homo sapiens (Human),9606,Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin),P06396
O75569,PRKRA_HUMAN,reviewed,PRKRA family,PF00035;PF16482;,,Homo sapiens (Human),9606,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PKR-associated protein X) (PKR-associating protein X) (Protein activator of the interferon-induced protein kinase) (Protein kinase, interferon-inducible double-stranded RNA-dependent activator)",O75569
P06733,ENOA_HUMAN,reviewed,Enolase family,PF00113;PF03952;,PIRSF001400;,Homo sapiens (Human),9606,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein),P06733
Q5W0U4,BSPRY_HUMAN,reviewed,,PF13765;PF00622;,,Homo sapiens (Human),9606,B box and SPRY domain-containing protein,Q5W0U4
Q96MW5,COG8_HUMAN,reviewed,COG8 family,PF04124;,PIRSF015415;,Homo sapiens (Human),9606,Conserved oligomeric Golgi complex subunit 8 (COG complex subunit 8) (Component of oligomeric Golgi complex 8),Q96MW5
P63167,DYL1_HUMAN,reviewed,Dynein light chain family,PF01221;,,Homo sapiens (Human),9606,"Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)",P63167
P63208,SKP1_HUMAN,reviewed,SKP1 family,PF01466;PF03931;,PIRSF028729;,Homo sapiens (Human),9606,S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1),P63208
O95793,STAU1_HUMAN,reviewed,,PF00035;PF16482;,,Homo sapiens (Human),9606,Double-stranded RNA-binding protein Staufen homolog 1,O95793
P78352,DLG4_HUMAN,reviewed,MAGUK family,PF00625;PF10608;PF00595;PF10600;PF00018;,PIRSF001741;,Homo sapiens (Human),9606,Disks large homolog 4 (Postsynaptic density protein 95) (PSD-95) (Synapse-associated protein 90) (SAP-90) (SAP90),P78352
Q8TD31,CCHCR_HUMAN,reviewed,,PF07111;,,Homo sapiens (Human),9606,Coiled-coil alpha-helical rod protein 1 (Alpha-helical coiled-coil rod protein) (Putative gene 8 protein) (Pg8),Q8TD31
Q9Y6X2,PIAS3_HUMAN,reviewed,PIAS family,PF14324;PF02891;,,Homo sapiens (Human),9606,E3 SUMO-protein ligase PIAS3 (EC 6.3.2.-) (Protein inhibitor of activated STAT protein 3),Q9Y6X2
O95229,ZWINT_HUMAN,reviewed,,PF15556;,,Homo sapiens (Human),9606,ZW10 interactor (ZW10-interacting protein 1) (Zwint-1),O95229
Q12906,ILF3_HUMAN,reviewed,,PF00035;PF07528;,,Homo sapiens (Human),9606,Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80),Q12906
Q9NUL3,STAU2_HUMAN,reviewed,,PF00035;PF16482;,,Homo sapiens (Human),9606,Double-stranded RNA-binding protein Staufen homolog 2,Q9NUL3
