Entry,Entry name,,Protein families,Cross-reference (Pfam),Cross-reference (PIRSF),Organism,Organism ID
P39940,RSP5_YEAST,reviewed,RSP5/NEDD4 family,PF00168;PF00632;PF00397;,PIRSF001569;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P15442,GCN2_YEAST,reviewed,"Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily",PF12745;PF00069;PF05773;,PIRSF000660;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P00546,CDK1_YEAST,reviewed,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",PF00069;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38631,FKS1_YEAST,reviewed,Glycosyltransferase 48 family,PF14288;PF02364;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32561,RPD3_YEAST,reviewed,"Histone deacetylase family, HD type 1 subfamily",PF00850;,PIRSF037913;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P19524,MYO2_YEAST,reviewed,"TRAFAC class myosin-kinesin ATPase superfamily, Myosin family",PF01843;PF00063;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P31539,HS104_YEAST,reviewed,ClpA/ClpB family,PF00004;PF07724;PF02861;PF10431;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53632,PAP2_YEAST,reviewed,DNA polymerase type-B-like family,PF01909;PF03828;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P08539,GPA1_YEAST,reviewed,"G-alpha family, G(q) subfamily",PF00503;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P02829,HSP82_YEAST,reviewed,Heat shock protein 90 family,PF02518;PF00183;,PIRSF002583;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P01123,YPT1_YEAST,reviewed,"Small GTPase superfamily, Rab family",PF00071;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38182,ATG8_YEAST,reviewed,ATG8 family,PF02991;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P02994,EF1A_YEAST,reviewed,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily",PF03144;PF03143;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53104,ATG1_YEAST,reviewed,"Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily",PF12063;PF00069;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P35169,TOR1_YEAST,reviewed,PI3/PI4-kinase family,PF11865;PF02259;PF02260;PF08771;PF00454;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
