P37646	PF00563
P37647	PF00294
Q5T848	PF00003
P37645	PF05170
Q5A201	PF00320
P37643	PF00083
P37640	PF00196
P37641	PF03466
Q6P069	PF13833
P30619	PF00995
P37648	PF05193
P37649	PF00672
P39972	PF11603
Q8TSG7	PF07752
P39970	PF00170
Q5MIZ7	PF04802
P39976	PF01565
A8MQY1	PF02365
O24903	PF14414
P37642	PF03631
P39979	PF00583
P40796	PF08777
P40797	PF00735
Q8RSY1	PF16847
P40795	PF15888
P40792	PF00071
P40793	PF00071
P40791	PF00319
Q8I3T1	PF00076
Q9LYR2	PF02921
Q60351	PF03874
P30613	PF02887
Q8I3T5	PF00076
Q9LYR6	PF00854
P40798	PF01422
Q9LYR4	PF00923
O25053	PF00218
O25052	PF01535
O25055	PF02541
Q8NHX6	PF17207
O25057	PF03279
Q8NHX4	PF15662
P23917	PF00480
O25058	PF02080
Q8NHX9	PF00520
Q0JDK9	PF02109
P23913	PF09465
P23910	PF07690
Q9NXR8	PF12998
Q9CXG9	PF00628
Q07969	PF01130
Q9C0H2	PF04906
Q9C0H5	PF00620
Q9C0H6	PF01344
Q9C0H9	PF03915
Q9NXR1	PF04880
Q07960	PF00620
O26883	PF01154
Q9NXR5	PF12796
Q9NXR7	PF06113
F1MD79	PF01363
Q96J65	PF00005
C5XY70	PF00795
C5XY71	PF00795
Q09406	PF00400
Q5H9L2	PF04538
P27619	PF00169
P01948	PF00042
P40421	PF00149
P40422	PF03604
P40423	PF13405
P40424	PF03792
P40425	PF03792
P40426	PF03792
P40427	PF03792
B8H080	PF00091
P40429	PF00572
P01942	PF00042
J3QT39	PF15254
O24906	PF01580
P01946	PF00042
P03898	PF00507
P27614	PF01546
P94845	PF03951
Q9WMB5	PF00973
P94842	PF03061
Q8L7S9	PF00085
Q8L7S8	PF00098
P08842	PF00884
P03891	PF00361
P03892	PF00361
Q8L7S4	PF07058
Q8L7S3	PF00642
O35158	PF07679
P03897	PF00507
P02769	PF00273
P02768	PF00273
P39394	PF08845
Q9QYH9	PF00229
P52478	PF00179
P52479	PF00443
P39390	PF06568
O26771	PF03059
P02760	PF00061
P05388	PF00466
Q9QYH1	PF00595
P02765	PF00031
P39398	PF07690
P39399	PF00392
Q9W7I5	PF00400
Q6DT37	PF00069
Q93380	PF05978
Q5EBH1	PF00788
O77396	PF10584
P07903	PF03834
Q5XGW7	PF04487
Q23680	PF01990
Q23683	PF02520
Q9P2J2	PF07679
P38377	PF00344
P38374	PF06624
Q97NE3	PF00579
P82929	PF16053
Q93654	PF00595
Q8I3T9	PF03947
P39023	PF00297
Q19742	PF00069
Q8N9B8	PF00618
C0SPB0	PF13193
P77627	PF06889
O18363	PF10264
Q04438	PF17325
Q04439	PF00018
P70414	PF16494
Q8LBB2	PF00571
Q9P219	PF05622
Q9P218	PF00092
Q9VRR4	PF00635
Q04430	PF03630
Q04431	PF17097
Q04432	PF01965
Q04433	PF17357
F2Z6F1	PF09326
Q04437	PF03731
Q92380	PF08514
Q92383	PF00730
Q11080	PF01027
Q9H3M9	PF02099
A1ZB42	PF07544
Q20798	PF13639
Q20797	PF11416
Q9EP73	PF07686
Q8GUA0	PF00249
Q9EP71	PF12796
Q9H3M0	PF00520
P18429	PF00457
P04387	PF01408
P04386	PF00172
Q9BZG1	PF00071
J9NXH7	PF14523
C6ZRS6	PF07714
Q9BZG7	PF02166
Q9BZG8	PF01866
Q19253	PF00018
A3FPV3	PF04670
P01236	PF00103
B9GIS7	PF02365
P0CJ66	PF00076
Q8N865	PF15093
Q9NIU5	PF00108
Q4KLI0	PF04855
A6NCC3	PF15070
Q9NIU2	PF17144
Q8I3T4	PF08644
Q6NX49	PF01352
P09007	PF00320
P01735	PF07686
P09001	PF00297
P53708	PF08441
P04035	PF12349
P04039	PF02935
P04038	PF02937
P53701	PF01265
A4D1N4	PF05300
Q05779	PF08511
Q95QZ9	PF05020
P00722	PF02837
Q14568	PF00183
P00724	PF00251
Q14563	PF01403
Q14562	PF00575
P00729	PF00450
Q9VLI2	PF07748
Q8R344	PF08315
Q14566	PF17207
Q14565	PF08423
P08092	PF00069
O08911	PF00069
Q8R3V6	PF02845
O08912	PF00652
O08915	PF00254
A2NTU7	PF07686
O08917	PF15975
O08919	PF00640
Q80WC1	PF14075
Q9JHY2	PF03820
Q80WC7	PF01412
Q9NRH1	PF09811
Q9NRH2	PF00069
Q9NRH3	PF03953
A6NIR3	PF01412
G3HNF2	PF01080
P0A110	PF00848
Q9QX60	PF01712
Q86VP1	PF07888
O25056	PF01075
Q18616	PF02463
E9Q3P4	PF10481
Q86VY4	PF00956
Q92526	PF00118
Q92521	PF03901
Q8GZA8	PF01342
Q92523	PF16484
Q92522	PF00538
Q91ZK4	PF03826
O13314	PF00503
Q92529	PF00017
Q149Z9	PF00538
P96551	PF00749
Q86VY9	PF10177
Q9D5L7	PF00622
Q8R6L9	PF00924
P63103	PF00244
P73315	PF00237
Q02873	PF09791
Q02870	PF04851
A8JQV7	PF07653
Q03042	PF00069
Q02874	PF01661
Q02875	PF02213
Q02878	PF03868
Q9SZY7	PF00137
Q9SZY1	PF01849
P45685	PF04468
Q96HA4	PF14946
Q96HA7	PF13181
Q94AN4	PF00847
P0ABA8	PF00231
Q95R34	PF00650
Q96HA9	PF05648
Q96HA8	PF09764
Q95R35	PF02789
Q05473	PF01926
Q81UM1	PF06628
Q05471	PF00176
Q07968	PF00084
Q81UM4	PF07690
Q9VGW6	PF17207
P03644	PF02306
Q9VVS5	PF10453
Q99JD4	PF12348
Q9VME2	PF05649
Q95R37	PF00169
Q9U3L0	PF14634
Q9VVS2	PF00097
Q9PUM7	PF16563
P03562	PF01440
E0SIF0	PF04183
Q09440	PF00850
P11207	PF13008
P03567	PF08283
P03641	PF02305
Q9HCE5	PF05063
Q9SJN0	PF00170
Q72DG2	PF00528
Q07963	PF02207
P19073	PF00071
P19075	PF00335
Q5JE20	PF00164
G5ECT8	PF00046
Q5JFR1	PF05690
Q00537	PF00069
C8ZB10	PF04757
Q15762	PF07686
Q9M1J1	PF14852
Q9M1J2	PF03871
Q15761	PF00001
Q9FR53	PF00454
Q6UW02	PF00067
Q9M1J7	PF03088
P17334	PF02378
P17336	PF06628
Q8BZM1	PF08568
P17330	PF00044
P17331	PF00044
O82232	PF01679
O82233	PF02854
O82230	PF02575
Q18511	PF05175
H7C484	PF04161
Q8I5T4	PF17207
Q8WUF8	PF09757
Q7DD77	PF04351
Q8WUF5	PF14604
Q96BT3	PF16171
Q56XY2	PF03029
Q72EG9	PF03886
Q96BT7	PF08241
Q02297	PF02158
Q02294	PF00520
Q81LF4	PF02687
Q02293	PF00432
Q9SYI9	PF03107
Q81LF9	PF02910
P14585	PF00066
Q99519	PF13088
Q99518	PF00743
P43361	PF12440
Q4VC31	PF09774
Q93ZW4	PF07851
Q6GHG0	PF07521
Q96RU3	PF14604
Q96RU2	PF00443
Q93ZW0	PF00479
Q4VC39	PF04588
P05803	PF00064
P05804	PF02837
O23617	PF02358
Q96RU8	PF00069
Q7KN75	PF00013
Q9AE52	PF00963
Q8BTJ4	PF01663
Q9SFD5	PF00569
Q9VWS4	PF00020
Q9I7P8	PF00753
P50427	PF00884
Q9SFD8	PF00808
Q9VWS0	PF12998
Q7KN79	PF04180
Q9VWS2	PF05172
Q9VWS3	PF09457
Q9Y5A7	PF00627
P59708	PF00076
P20396	PF05438
B7Z722	PF00261
P91643	PF13855
Q13643	PF00412
Q13642	PF00412
Q13641	PF01462
O82587	PF03083
Q9SID0	PF00294
Q9SID1	PF00643
Q9SID2	PF00487
Q9VT65	PF00648
Q94166	PF16878
Q94165	PF16878
P19882	PF00118
Q9R1N3	PF00955
Q02127	PF01180
Q9W4Z5	PF14688
Q9N9Z7	PF05281
Q8N6K7	PF00536
Q86NE1	PF00026
Q877H2	PF00118
Q8MRM6	PF01048
Q877H0	PF00118
P15180	PF01336
Q3V3Q7	PF10254
Q7PBG1	PF02684
Q9VP85	PF04801
P53911	PF07904
Q96CN9	PF01465
Q9VZ87	PF05306
Q6FGT0	PF00230
Q6ZRV2	PF07894
Q8I335	PF06421
Q54GY1	PF00787
Q9LX51	PF07723
Q9GYH7	PF02204
Q96CN7	PF00857
