Entry,Entry name,,Protein families,Cross-reference (Pfam),Cross-reference (PIRSF),Organism,Organism ID
O74831,FRDA_SCHPO,reviewed,Frataxin family,PF01491;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9URU9,FYV10_SCHPO,reviewed,FYV10 family,PF10607;PF08513;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9HDU5,GAL7_SCHPO,reviewed,Galactose-1-phosphate uridylyltransferase type 1 family,PF02744;PF01087;,PIRSF000808;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P33277,GAP1_SCHPO,reviewed,,PF00616;PF03836;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P41891,GAR2_SCHPO,reviewed,RRM GAR family,PF00076;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9USU5,GAS2_SCHPO,reviewed,Glycosyl hydrolase 72 family,PF03198;PF07983;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9Y7Y7,GAS4_SCHPO,reviewed,Glycosyl hydrolase 72 family,PF03198;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9US26,FTA2_SCHPO,reviewed,,PF13095;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14222,FSV1_SCHPO,reviewed,,PF05739;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O74844,FTA7_SCHPO,reviewed,,PF13094;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14137,G6PD3_SCHPO,reviewed,Glucose-6-phosphate dehydrogenase family,PF02781;PF00479;,PIRSF000110;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UT77,GATB_SCHPO,reviewed,"GatB/GatE family, GatB subfamily",PF02934;PF02637;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q04800,FRP1_SCHPO,reviewed,Ferric reductase (FRE) family,PF08022;PF01794;PF08030;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94727,FRP2_SCHPO,reviewed,Ferric reductase (FRE) family,PF08022;PF01794;PF08030;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UTG6,FMT_SCHPO,reviewed,Fmt family,PF02911;PF00551;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UTD0,FOLD_SCHPO,reviewed,Folylpolyglutamate synthase family,PF08245;,PIRSF001563;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13776,FT105_SCHPO,reviewed,Hid-1 family,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UTP3,FTA6_SCHPO,reviewed,,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P7W2,FTHC_SCHPO,reviewed,5-formyltetrahydrofolate cyclo-ligase family,PF01812;,PIRSF006806;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UTI1,FUB1_SCHPO,reviewed,Proteasome inhibitor PI31 family,PF08577;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94260,G3BP_SCHPO,reviewed,,PF02136;PF00076;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
G2TRM0,FMC1_SCHPO,reviewed,FMC1 family,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P7X3,FRG1_SCHPO,reviewed,FRG1 family,PF06229;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q10279,FUR4_SCHPO,reviewed,Purine-cytosine permease (2.A.39) family,PF02133;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9US48,GAA1_SCHPO,reviewed,,PF04114;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O74191,FKBP4_SCHPO,reviewed,"FKBP-type PPIase family, FKBP3/4 subfamily",PF00254;,PIRSF001473;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14276,FYV7_SCHPO,reviewed,FYV7 family,PF08524;,PIRSF037708;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9HDU3,GAL10_SCHPO,reviewed,NAD(P)-dependent epimerase/dehydratase family; Aldose epimerase family,PF01263;PF16363;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94509,GATA_SCHPO,reviewed,"Amidase family, GatA subfamily",PF01425;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94716,FTA4_SCHPO,reviewed,,PF13093;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P78958,G3P1_SCHPO,reviewed,Glyceraldehyde-3-phosphate dehydrogenase family,PF02800;PF00044;,PIRSF000149;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O43026,G3P2_SCHPO,reviewed,Glyceraldehyde-3-phosphate dehydrogenase family,PF02800;PF00044;,PIRSF000149;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P78917,G6PI_SCHPO,reviewed,GPI family,PF00342;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P7H1,FLP1_SCHPO,reviewed,"Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily",PF00782;PF14671;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9HFE4,FMO1_SCHPO,reviewed,FMO family,PF00743;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O36024,FTA1_SCHPO,reviewed,,PF13092;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94552,FUMH_SCHPO,reviewed,"Class-II fumarase/aspartase family, Fumarase subfamily",PF10415;PF00206;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q10280,GAF1_SCHPO,reviewed,,PF08550;PF00320;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q06975,GAR1_SCHPO,reviewed,GAR1 family,PF04410;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9HGN1,GCN2_SCHPO,reviewed,"Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily",PF12745;PF00069;PF05773;,PIRSF000660;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q92344,FTA5_SCHPO,reviewed,,PF10528;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q10719,FUS1_SCHPO,reviewed,"Formin homology family, BNI1 subfamily",PF06371;PF02181;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O74972,FYV4_SCHPO,reviewed,Mitochondrion-specific ribosomal protein mS41 family,PF09597;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O59812,G6PD2_SCHPO,reviewed,Glucose-6-phosphate dehydrogenase family,PF02781;PF00479;,PIRSF000110;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O00091,G6PD_SCHPO,reviewed,Glucose-6-phosphate dehydrogenase family,PF02781;PF00479;,PIRSF000110;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9HDU2,GAL1_SCHPO,reviewed,"GHMP kinase family, GalK subfamily",PF10509;PF08544;PF00288;,PIRSF000530;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
