yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CECA5	Entry
4841	A0A0S2Z4Z9
4841	Q15233
4842	A0PJJ7
4842	B3VK56
4842	B4DG68
4842	P29475
2038	P16452
94059	A0A087WVD1
94059	Q96B70
202333	Q8N3K9
108989	F6ZDS4
13010	P21460
398110	Q9YHC4
72900	Q9D6J6
14163	A2ALP5
14163	P52734
14163	Q3UG32
827710	A0A1P8B3C8
827710	Q5ICL9
3486	B3KPF0
3486	P17936
3710	A6H8K3
3710	Q14573
3710	Q59ES2
14165	O35565
14164	P61148
14164	Q6ZWS1
444759	A0A1L8HXL4
444759	Q6GLI9
440138	Q2TAA5
400916	B5MBW9
400916	Q8WYQ3
26253	F5H5X7
26253	Q9ULY5
5026	Q93086
827713	A0A178UTD9
827713	Q38856
2539699	Q9USZ4
91624	B4DDI0
91624	D3DQ79
91624	Q0ZGT2
4939	P29728
4939	Q7Z6D0
33937	M9PCR0
33937	Q960N3
37297	Q7JUS9
33935	M9PB52
33935	Q9VMA2
33934	Q9VMA3
33934	X2J9P9
37292	P41094
37293	A1ZBS3
37290	P17917
33930	Q9VMA7
33930	X2J786
851952	P50273
851953	P42223
851950	Q06325
851956	P07285
851957	P32380
33939	A8DYW5
33939	B7Z029
33939	D5SHT8
33939	M9PB53
33939	Q8IPJ4
33939	Q9VM99
851955	P29509
38055	M9NFF9
38055	Q9W0R7
38056	Q9W0R6
38059	Q9W0R3
837294	A0A178W510
837294	Q29PW8
837296	P92939
837291	A0A178W5N5
837291	B9DI04
837291	P42798
837290	Q9LQQ3
837293	Q9LQQ4
837292	A0A178WLS8
837292	A0A1P8ATT5
837292	A0A1P8ATU6
837292	B3H4J9
837292	Q42440
36163	Q7K508
34928	M9NF32
34928	Q9V3K7
70726	Q8R0Z6
813350	Q8I378
34924	A4V0R4
34924	M9NDQ2
34924	P54733
34927	Q7KT70
834730	A0A178UDT6
834730	P93654
40001	Q9VVN2
40000	Q9VVN1
40003	Q9VVN4
40002	Q8SYM9
40005	M9PI92
40005	Q9VVN6
56431	Q4FK36
56431	Q9R0P5
40009	M9PFL5
40009	Q24106
40008	Q9VVP0
397545	B2CZF8
2768992	E7BBS4
2768992	Q7KUD5
433766	F8VPZ1
433766	Q8CFN7
182816	Q9GYR3
182817	A9Z1L6
2768999	M9MSJ7
2768999	M9PGW2
2768999	Q9W081
147808	Q8NCA9
834738	A0A178UPZ4
834738	Q9FJR9
819211	A0A1P8B1E8
819211	A0A1P8B1K4
819211	P42750
819210	Q6EVK6
326219	Q9VZW0
819215	A0A178VX75
819215	A0A1P8B1V3
819215	F4IH84
819215	Q8GYQ5
819217	O82359
855018	Q03674
855017	P50105
855016	P40959
855015	Q03673
855014	Q03667
855013	P32562
855012	P32939
855011	P0CF17
855010	P0CF16
853888	P36114
853889	P36115
853882	P36110
853880	Q02208
853881	Q02209
853886	P36112
853887	P36113
853884	P36018
853885	P36111
812538	C0H4A7
812534	Q8I209
812531	Q8I207
6451	O75368
6451	V9HW48
6450	C9JJT2
6450	P55822
6453	A7XZY7
6453	F8W7U0
6453	Q15811
6453	Q6PD56
6452	P78314
6455	Q6FGM0
6455	Q99961
6457	A0A024R215
6457	Q99963
6456	Q7Z376
6456	Q99962
173244	Q9U2M8
102724631	A0A0C4DH93
102724631	A0JP26
68755	Q8BMJ7
89978	Q7L8W6
360533	D3Z8N2
830029	A0A178V2S8
830029	P34790
71740	Q8R007
835631	A0A178UGM9
835631	Q9FJ72
835632	F4K3G5
170572	Q8WXA8
170577	Q8VHF0
170574	Q2KHK9
170574	Q5RM08
170574	Q8VI67
170575	A0A090N8Z4
170575	Q8WWP7
831521	A0A178UIQ7
831521	C0LGT4
831521	Q9FMD7
831522	Q9SPG7
831525	A0A1R7T387
831525	Q8W489
831524	A0A178UEV6
831524	Q9FMD5
653509	A0A024QZP2
653509	B4DNP6
653509	Q8IWL2
839739	A0A178W5C7
839739	F4HY55
39098	Q9VSZ6
39099	Q0E8G5
39099	X2JCR2
39097	Q9VSZ5
39094	Q9VSZ2
39095	Q9VSZ3
39092	Q9VSZ0
39093	M9PEX2
39093	M9PF36
39093	Q9VSZ1
39090	Q9VSY8
39091	Q9VSY9
32970	Q9VWE7
180419	Q19019
180419	Q6ABG8
180419	Q95ZR5
851105	Q06010
180413	H2KZR3
180413	O76566
180410	O76561
2539795	P42881
181426	G5ECE7
180414	G8JY94
180414	H2KZR4
180414	Q21067
245886	A0A0R4J2C4
245886	Q3UMR0
51435	Q6AZY7
373722	Q8AYF1
245880	Q8VHI6
41571	O18475
32975	M9NE35
32975	Q9VWE1
2539352	Q10432
2539353	O13282
2539350	Q9P7I9
2539351	O59821
2539356	Q9P7K1
51430	A0A024R929
51430	A0A087WV04
51430	B4DYM4
51430	Q9UBS9
2539354	Q9UT68
2539355	O74481
831293	Q9LY87
20616	E9Q9A3
20616	Q3TWS4
20616	Q61548
20616	Q7TT20
2539358	O74452
818673	A0A178VXI9
818673	Q94K78
831297	A0A178UDE2
831297	Q0WVR7
831295	A0A178U8N2
831295	A0A178U9Q1
831295	Q6NPE4
831295	Q9LY85
831294	A0A178UH64
831294	F4K6T0
831294	Q8VZV7
43721	Q9V9W5
4063	A0A0C4DFU4
4063	Q05CA2
4063	Q0VAI0
4063	Q5VYH9
4063	Q9HBG7
43723	Q9V9W2
43723	Q9V9W3
4061	Q16553
43725	O62609
43725	Q8IMG6
43724	Q95TJ9
43727	Q9V9V8
43726	A0A0B4KHX9
43726	Q9V9V9
69260	Q9ESK4
43728	A0A0B4KI70
43728	Q9V9V7
4068	O60880
4069	B2R4C5
4069	P61626
172597	B3WFX4
172597	O17583
14236	E9Q7L6
854825	P10363
854824	P40566
854827	P40568
854826	P40567
854821	P40565
854820	P40564
854822	P32521
213109	B2RQG2
421202	Q3MUH5
854829	P35184
854828	P38637
813374	Q8I355
818583	A0A178VMY0
818583	P58684
818580	A0A178VW25
818580	A0A1P8B0K2
818580	A0A1P8B0L6
818580	O04196
818581	A0A178VMU2
818581	O04197
818587	O04202
818584	A0A178VUN6
818584	O04200
386675	P60409
353288	Q7Z3Y9
818588	O04203
818589	O04204
813379	Q8I350
424895	Q5ZK62
172625	A5PEW7
172625	Q9XXN3
397742	A0A1L8GFW9
397742	P13350
397743	A0A1L8GT40
397743	P13351
839195	A0A178WE75
839195	Q9FE18
852379	P0CX82
852379	P0CX83
852378	P09440
852377	P18412
852376	P15731
852373	P35177
852372	P18759
852371	P38249
852370	P38248
825036	A0A1I9LQA0
825036	Q9LXT4
825032	A0A178VE47
825032	Q8GXR6
825032	Q9M2F4
67112	Q0VER9
67112	Q9ESS2
825030	A0A178VHJ5
825030	Q05758
819408	O82263
225020	D3Z6D5
225020	Q3TN06
225020	Q3U049
225020	Q6TYB5
186604	Q93830
225055	Q7TPD1
494499	P04903
494499	Q4FZZ3
38876	Q9VSB3
17451	F6UHW1
38873	Q9VSB2
38872	O61735
38871	E8NH57
38871	M9PBV1
38871	P17276
38871	Q59E23
38870	Q9VSA9
67118	A0A0R4J040
67118	Q8R079
67118	Q9CZ70
38879	A8JNN0
38879	D2NUE8
38879	Q8IQ95
38879	Q8IQ96
38879	Q8IQ97
38879	Q9U7D8
38878	Q9VSB6
13347	O54786
13347	Q8C535
13345	A5D6P6
13345	Q9D030
427272	A0A0A0MQ53
427272	F1N9Y5
81930	Q8NI77
40908	Q961N0
386678	P60412
362361	A7VJC2
827054	Q9LDN0
362368	D3ZPV8
819987	A0A178V9S0
819987	A0A1I9LMX2
819987	A0A1I9LMX3
819987	Q0WN55
819987	Q9SFB8
819986	A0A178VIV6
819986	Q8LF05
42091	Q9VEK8
42092	Q8IN97
42092	Q9VEK7
42093	A0A0B4KHA2
42093	A0A0B4KHN4
42093	Q9VEK6
42094	Q9VEK5
42095	Q9VEK4
42097	Q9VEK2
42098	Q9VEK1
830765	A0A178UE53
830765	B1GV57
830765	Q96330
48632	A0A0B4LH50
48632	P10981
824636	Q9M1S9
824632	Q6Q1P4
827055	A0A178V0T7
827055	F4JUM1
827055	F4JUM3
827055	Q8VXX0
79712	B8ZZ45
79712	Q4AE62
828126	A0A178UUM2
828126	B9DFF4
828126	O22768
817642	O49354
828120	P33487
3640419	Q5A876
163071	Q8NC26
44736	O76877
642475	A6NGR9
6334	Q6B4S4
6334	Q9UQD0
6337	P37088
6330	B0YJ93
6330	Q8IWT1
6331	A0A0A0MT39
6331	E9PG18
6331	E9PHB6
6331	H9KVD2
6331	K4DIA1
6331	Q14524
6331	Q86V90
2542715	O13982
6338	B2R812
6338	P51168
6339	A6NNF7
6339	P51172
398032	A0A1L8GLG1
398032	Q4V7Y7
2540107	Q9URV3
2540105	P50998
179569	O18015
179569	Q52GX6
58959	B3SXS3
58959	P35353
41013	Q8SX76
2540108	O14364
41014	A0A0B4LGX0
41014	Q9VHP9
362587	A0A0G2JWA8
362587	D3ZHV2
10109	A0A024R408
10109	O15144
10109	Q53R19
10105	A0A024QZS4
10105	P30405
10107	A0A1U9X8M5
10107	Q9UDY6
