yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CEADC	Entry
838436	A0A178W9U1
838436	F4ICA0
854185	P38910
398061	P70050
823667	Q94KB9
38391	Q8IRE3
822391	A0A178VHN7
822391	A0A1I9LMB4
822391	Q9XF87
822396	A0A178VAM7
822396	A8MRD8
822396	Q9LVW7
819248	A0A178W050
819248	Q9SKD9
819249	O22059
4257	A0A024RAX2
4257	P10620
819244	A0A178VQG1
819244	F4II77
819244	Q9SKE2
819242	A0A178VSM9
819242	Q9SYX2
819240	A0A1P8B2F4
819240	F4II70
819240	F4II71
819241	A0A178VYP5
819241	O82337
819241	Q3EBF3
378430	I6ZHM2
378430	P60322
378435	Q8CF90
4256	A0A024RAX0
4256	P08493
50259	Q9VW42
414523	A0A1L8H0E1
414523	Q6NU08
6402	P14151
6403	A0A024R8Y9
6403	P16109
6403	Q5R341
6403	Q6NUL9
6400	Q3ZCU6
6400	Q9UBV2
6401	P16581
6406	P04279
6407	Q02383
6404	Q14242
6405	C9JPG5
6405	Q13275
6405	Q59G50
173293	O17670
813722	Q8IE08
173296	O45539
9719	B1B0D4
9719	Q86TH1
72895	Q5XJV7
819798	A0A178VH03
819798	Q8GXC7
187005	O44768
187005	Q8IA66
819791	A0A178VDP7
819791	Q494Q0
819793	A0A1I9LQF8
819793	A0A1I9LQF9
819793	A0A1I9LQG0
819793	F4JAT1
819793	Q9M8J9
66078	Q8BMZ5
66078	Q9CWG3
827178	O23366
812074	Q86RA7
812074	Q8IKV9
812075	Q8IKV8
812076	Q8IKV7
842124	A0A1P8AME8
842124	Q9FXB8
835871	A0A178UDJ9
835871	F4KC24
835871	Q9FKK7
842121	A0A178WNB5
842121	Q9FXB5
842120	Q9FE25
50251	A1Z793
771124	F1N833
771124	Q5ZMN3
842129	A0A178WJ65
842129	Q9FVU7
173124	Q9XVG8
173125	Q9XVG7
173120	O45686
173121	D7SFR1
173121	P35602
838297	A0A178W776
838297	Q43128
835664	A0A178U7M4
835664	F4K4Z1
835664	Q9FM68
50252	A1Z763
820385	A0A178VMI3
820385	P53496
820385	Q541W9
835660	F4K4Y5
177636	Q19007
177637	H2KZJ7
177637	Q4TTA9
177632	Q19004
177633	Q19005
820383	A0A178VCX6
820383	Q9C7C1
231151	D3Z4Z0
830464	Q9FFJ9
39049	A4V1Q0
39049	A4V1Q1
39049	M9PF25
39049	Q24207
39049	Q6NN06
39048	E1JI93
39048	Q8IQB8
39048	Q9VST9
39048	Q9VSU2
2540406	O14348
839749	A0A178W5S5
839749	A0A1P8APJ2
839749	F4HY64
839749	Q946Y7
839748	A0A178W584
839748	Q9SGP6
287191	P40329
39041	A8JNP1
39041	A8JNP2
39041	P48610
39040	Q9VST4
39043	M9PEL5
39043	Q9VST7
820380	A0A178VGN3
820380	Q9LHL6
39044	Q9VST8
5740790	Q6IGE3
19921	A2A547
19921	P84099
19921	Q5I0T8
203	P00568
203	Q5T9B7
203	Q6FGX9
202	A0A0J9YWL0
202	B3KPT0
202	Q9Y4K1
205	D3DQ64
205	P27144
204	A0A140VK93
204	F8VY04
204	F8W1A4
204	G3V213
204	P54819
207	B0LPE5
207	B3KVH4
207	P31749
680102	D4ACZ1
208	B4DG79
208	P31751
22995	O94986
22995	Q3B7A2
12042	B7ZWE5
12042	Q9Z0H7
12043	P10417
12043	Q6NTH7
12043	Q8BQK4
12044	Q07440
12048	O35843
12048	Q5HZH3
12048	Q64373
2539301	O94593
75580	Q5F293
2539303	O59762
2539302	O94402
2539305	O74906
2539304	Q09890
2539307	O74563
245972	A0A024R991
245972	Q8N8Y2
2539309	P87244
2539308	O74904
826384	Q501F8
22990	Q96RV3
818685	A0A178VXG7
818685	Q41906
818687	A0A178VVN5
818687	F4IJ08
818686	A0A178VTT8
818686	O22203
43791	Q961D9
2543546	Q10221
43793	Q9V4D4
43794	L0MLK2
43794	L0MLN1
43794	L0MN72
43794	L0MPN7
43794	L0MPX5
43794	Q8IMC6
43794	Q9V4D6
43795	H9XVP0
43795	L0MLK7
43795	P28167
43796	Q9V4D8
43798	Q9V4E0
43799	Q9V4E1
66341	Q3V124
69237	Q99ME9
255758	Q8WW35
69234	E9Q5M9
305242	A0A0G2K4K8
305242	Q5XIT0
305240	Q6AY21
21647	A0A0R4J284
21647	P11985
21648	P51807
2543547	Q9UUG6
829626	A0A178UYQ3
829626	Q9STG9
818531	A0A178VSK4
818531	Q8LD46
818530	A0A178VPD8
818530	O80632
829623	O23141
818536	O80638
379814	Q8AVW0
22998	B7Z2J4
22998	B7Z656
22998	D6RD46
22998	E9PDJ9
22998	G5EA03
22998	Q9UPQ0
172655	Q93714
172657	Q93716
172653	Q21740
187003	O44770
45432	Q9VT91
90459	A0A024R355
90459	Q8IV48
381085	Q80VE5
2543469	Q9HDW6
3361316	O74797
55771	D2SNZ4
55771	Q96HE9
38806	Q8IQ85
38806	Q9VS45
38807	B6IDL7
38807	Q9VS46
7354371	B7Z073
7354371	G4LTX2
7354376	C0HJX4
7354376	C0HJX5
38800	Q9VS39
38801	Q9VS41
34791	Q24062
34791	X2J8B3
158747	Q8NHP6
158747	R4GMN1
38808	Q9VS47
38809	A0A023GPN3
38809	Q7YTZ1
38809	Q9VS48
811365	Q8I597
379454	O42193
843095	Q8LDL0
320558	Q9CUU3
843096	A0A1P8AMW7
843096	A0A1P8AMX5
843096	Q0WRT0
843096	Q9FXD6
823875	Q6NMA7
10758	O43734
101314	Q91VR8
843097	C0LGI2
10750	I3L2P9
10750	Q13588
53761	Q7TSC1
10752	A0A087X0M8
10752	O00533
10753	B4DNR4
10753	E7ESS6
10753	O14815
10753	Q6PIV8
10755	A0A024R7I0
10755	A0A024R7I1
10755	A8K2I7
10755	O14908
58799	Q8C7D2
11803	A0A0R4IZZ1
11803	Q03157
11803	Q3TUB1
101059918	I6L899
11801	Q9QWK4
54237	P39951
11806	Q00623
4191	A0A024R4K3
4191	B3KTM1
4191	G3XAL0
4191	P40926
14836	Q02591
175562	P46555
175561	P46554
175566	Q17467
175564	P46557
175565	P46559
20115	P62082
20115	Q4FZE6
20116	P62242
20116	Q497E9
