Entry,Entry name,Status,Protein names,Organism,Length,Organism ID
P63438,ACP_BRUSU,reviewed,Acyl carrier protein AcpP (ACP),Brucella suis biovar 1 (strain 1330),78,204722
Q8FY57,ACCA_BRUSU,reviewed,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2),Brucella suis biovar 1 (strain 1330),317,204722
Q8FYS0,4HYPE_BRUSU,reviewed,4-hydroxyproline 2-epimerase (4Hyp 2-epimerase) (4HypE) (EC 5.1.1.8) (Hydroxyproline-2-epimerase) (BsHyPRE),Brucella suis biovar 1 (strain 1330),333,204722
Q8FXY7,ACCD_BRUSU,reviewed,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2),Brucella suis biovar 1 (strain 1330),301,204722
Q8FVU0,14KL_BRUSU,reviewed,Lectin-like protein BA14k,Brucella suis biovar 1 (strain 1330),147,204722
Q8FYQ3,ACSA_BRUSU,reviewed,Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme),Brucella suis biovar 1 (strain 1330),651,204722
P63451,ACPXL_BRUSU,reviewed,Acyl carrier protein AcpXL,Brucella suis biovar 1 (strain 1330),93,204722
Q8FW12,ADEC_BRUSU,reviewed,Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2),Brucella suis biovar 1 (strain 1330),581,204722
P63465,ACPS_BRUSU,reviewed,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS),Brucella suis biovar 1 (strain 1330),134,204722
Q8FVW4,AHPD_BRUSU,reviewed,Alkyl hydroperoxide reductase AhpD (EC 1.11.1.15) (Alkylhydroperoxidase AhpD),Brucella suis biovar 1 (strain 1330),175,204722
Q8G1M4,AMPA_BRUSU,reviewed,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),Brucella suis biovar 1 (strain 1330),497,204722
Q8G2L5,APAG_BRUSU,reviewed,Protein ApaG,Brucella suis biovar 1 (strain 1330),130,204722
P63543,APT_BRUSU,reviewed,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),Brucella suis biovar 1 (strain 1330),181,204722
P59284,ALLA_BRUSU,reviewed,Ureidoglycolate lyase (EC 4.3.2.3) (Ureidoglycolatase),Brucella suis biovar 1 (strain 1330),169,204722
P0A2Y0,ARGI_BRUSU,reviewed,Arginase (EC 3.5.3.1),Brucella suis biovar 1 (strain 1330),306,204722
Q8FYE2,ARGJ_BRUSU,reviewed,Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)],Brucella suis biovar 1 (strain 1330),413,204722
Q8FVC1,ALR_BRUSU,reviewed,Alanine racemase (EC 5.1.1.1),Brucella suis biovar 1 (strain 1330),396,204722
P63567,ARGD_BRUSU,reviewed,Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11),Brucella suis biovar 1 (strain 1330),403,204722
Q8G104,ANMK_BRUSU,reviewed,Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase),Brucella suis biovar 1 (strain 1330),373,204722
P63608,AROC_BRUSU,reviewed,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),Brucella suis biovar 1 (strain 1330),364,204722
Q8FY85,AQPZ_BRUSU,reviewed,Aquaporin Z,Brucella suis biovar 1 (strain 1330),228,204722
P59296,ARGB_BRUSU,reviewed,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK),Brucella suis biovar 1 (strain 1330),296,204722
